['474', '699', '724', '207', '358', '488', '546', '613', '751', '510', '902', '85', '645', '857', '364', '352', '817', '420', '893', '149']
['255', '964', '498', '950', '598', '217', '116', '938', '453', '776', '199', '458', '971', '183', '675', '332', '662', '109', '920', '976']
['785', '646', '793', '558', '94', '51', '298', '753', '589', '203', '237', '691', '549', '734', '850', '256', '696', '197', '618', '872']
['103', '553', '45', '489', '97', '104', '305', '969', '830', '541', '657', '634', '249', '674', '586', '107', '156', '508', '253', '671']
['369', '277', '881', '756', '30', '965', '198', '155', '324', '328', '429', '914', '932', '714', '941', '937', '25', '460', '6', '66']
['63', '565', '316', '531', '694', '518', '270', '799', '874', '962', '723', '847', '268', '978', '547', '47', '363', '367', '891', '472']
['631', '284', '664', '802', '787', '376', '258', '726', '673', '747', '60', '958', '982', '317', '683', '763', '397', '194', '362', '118']
['743', '252', '32', '254', '742', '517', '704', '955', '74', '386', '257', '977', '327', '54', '450', '473', '641', '425', '858', '957']
['922', '0', '266', '824', '579', '712', '764', '395', '209', '746', '972', '234', '351', '93', '689', '344', '948', '126', '709', '762']
['455', '863', '259', '29', '411', '402', '520', '939', '23', '34', '832', '591', '148', '108', '179', '859', '594', '984', '868', '685']
['388', '569', '267', '652', '236', '75', '953', '67', '315', '519', '143', '201', '851', '669', '836', '629', '53', '357', '852', '744']
['342', '557', '692', '186', '960', '164', '647', '225', '773', '934', '379', '90', '17', '698', '727', '688', '137', '169', '216', '559']
['867', '293', '903', '464', '39', '232', '96', '643', '307', '492', '55', '946', '925', '804', '791', '377', '2', '449', '877', '372']
['501', '275', '435', '147', '563', '919', '263', '190', '196', '838', '720', '65', '539', '884', '819', '121', '601', '843', '665', '444']
['361', '566', '658', '821', '374', '733', '296', '393', '318', '235', '682', '635', '766', '131', '76', '354', '385', '228', '486', '778']
['442', '998', '853', '231', '36', '890', '353', '233', '711', '820', '873', '878', '80', '755', '900', '403', '997', '122', '79', '947']
['875', '430', '497', '446', '803', '5', '906', '690', '421', '175', '347', '516', '910', '968', '308', '789', '835', '644', '506', '715']
['243', '750', '514', '312', '125', '706', '59', '68', '522', '466', '770', '521', '561', '596', '303', '146', '860', '174', '555', '614']
['897', '889', '816', '774', '381', '580', '823', '241', '276', '58', '927', '210', '115', '532', '871', '523', '289', '784', '494', '995']
['655', '44', '554', '273', '525', '967', '441', '240', '905', '996', '71', '48', '159', '825', '313', '64', '299', '463', '942', '150']
['244', '338', '794', '288', '788', '335', '812', '511', '630', '769', '993', '752', '319', '538', '779', '8', '92', '917', '180', '187']
['73', '931', '154', '587', '117', '842', '461', '588', '120', '502', '7', '77', '110', '933', '283', '899', '818', '499', '239', '285']
['477', '27', '11', '648', '854', '983', '135', '540', '330', '677', '182', '483', '264', '681', '781', '329', '373', '28', '578', '550']
['527', '193', '467', '828', '202', '912', '887', '552', '615', '771', '123', '493', '741', '269', '604', '346', '247', '482', '101', '678']
['600', '208', '846', '250', '336', '915', '166', '391', '46', '717', '617', '653', '309', '626', '70', '206', '736', '642', '280', '509']
['310', '840', '229', '856', '515', '145', '173', '703', '602', '801', '624', '383', '904', '83', '157', '191', '152', '212', '605', '583']
['524', '380', '40', '656', '542', '504', '189', '278', '399', '81', '69', '536', '248', '480', '888', '219', '144', '366', '124', '478']
['503', '568', '718', '940', '133', '286', '896', '132', '980', '970', '291', '990', '849', '943', '451', '468', '178', '697', '359', '426']
['127', '754', '926', '433', '908', '702', '418', '375', '954', '223', '297', '713', '88', '567', '612', '660', '735', '448', '844', '177']
['220', '783', '42', '921', '633', '370', '21', '26', '139', '759', '227', '401', '991', '808', '627', '693', '637', '325', '577', '404']
['636', '625', '909', '22', '282', '218', '573', '628', '986', '214', '181', '807', '959', '185', '170', '935', '670', '1', '607', '331']
['105', '862', '585', '242', '663', '710', '551', '923', '272', '221', '322', '431', '719', '892', '513', '545', '811', '419', '459', '732']
['471', '695', '845', '622', '883', '534', '603', '378', '737', '271', '462', '813', '349', '574', '382', '745', '757', '445', '528', '530']
['595', '321', '119', '37', '898', '949', '261', '758', '389', '975', '215', '72', '606', '610', '465', '414', '300', '306', '749', '782']
['128', '885', '387', '963', '184', '619', '394', '424', '623', '407', '396', '416', '19', '412', '15', '368', '611', '841', '507', '848']
['443', '730', '130', '999', '797', '434', '911', '417', '827', '56', '415', '973', '136', '716', '866', '924', '320', '262', '3', '945']
['447', '192', '50', '666', '765', '98', '384', '287', '339', '422', '708', '171', '211', '869', '360', '205', '490', '837', '151', '292']
['410', '543', '343', '560', '481', '668', '134', '454', '188', '440', '168', '238', '14', '994', '333', '861', '512', '810', '806', '780']
['575', '500', '326', '340', '100', '475', '988', '944', '562', '161', '672', '775', '929', '61', '599', '651', '9', '822', '961', '167']
['544', '82', '738', '918', '43', '701', '99', '616', '141', '649', '24', '592', '476', '989', '684', '571', '400', '428', '112', '916']
['290', '87', '570', '12', '323', '485', '496', '408', '479', '18', '760', '548', '880', '274', '839', '62', '160', '49', '608', '195']
['722', '140', '640', '226', '432', '456', '882', '398', '302', '535', '41', '16', '590', '620', '680', '200', '834', '686', '576', '301']
['13', '86', '245', '294', '350', '992', '84', '529', '409', '870', '894', '748', '452', '777', '526', '436', '654', '10', '470', '795']
