['26', '913', '994', '202', '948', '957', '286', '578', '865', '952', '872', '893', '144', '168', '740', '970', '630', '870', '137', '963', '68', '917', '639', '14', '487']
['878', '665', '525', '566', '358', '450', '177', '877', '567', '157', '75', '791', '800', '722', '170', '118', '148', '830', '119', '645', '998', '627', '536', '679', '746']
['501', '907', '350', '790', '444', '360', '649', '997', '175', '429', '353', '554', '851', '713', '250', '314', '925', '749', '947', '138', '896', '160', '579', '205', '290']
['311', '85', '46', '47', '42', '916', '661', '688', '504', '282', '895', '129', '404', '43', '681', '64', '320', '27', '956', '0', '853', '974', '143', '62', '863']
['77', '671', '87', '20', '511', '182', '557', '699', '709', '933', '657', '768', '400', '767', '53', '54', '605', '194', '982', '126', '49', '108', '967', '295', '552']
['659', '969', '377', '330', '882', '37', '479', '796', '147', '98', '702', '765', '979', '91', '899', '469', '506', '531', '695', '445', '780', '437', '121', '201', '802']
['335', '349', '130', '726', '131', '321', '407', '402', '491', '394', '480', '558', '915', '873', '403', '79', '423', '2', '569', '12', '184', '297', '496', '906', '101']
['572', '966', '406', '922', '850', '122', '397', '41', '885', '156', '152', '772', '6', '960', '571', '595', '198', '304', '840', '427', '942', '703', '316', '597', '154']
['72', '112', '252', '231', '305', '315', '787', '798', '625', '344', '562', '65', '586', '545', '580', '609', '339', '986', '764', '242', '455', '534', '687', '500', '730']
['591', '255', '104', '654', '596', '608', '537', '822', '852', '861', '391', '610', '103', '191', '261', '494', '426', '364', '127', '620', '195', '197', '132', '644', '513']
['217', '392', '859', '486', '378', '550', '115', '218', '284', '980', '849', '563', '145', '547', '828', '146', '635', '288', '518', '574', '981', '733', '701', '685', '428']
['565', '724', '755', '837', '279', '451', '457', '734', '438', '954', '105', '987', '745', '209', '440', '642', '215', '203', '241', '474', '794', '449', '256', '326', '405']
['369', '988', '276', '161', '898', '509', '636', '248', '976', '470', '214', '664', '788', '624', '478', '663', '902', '581', '529', '225', '452', '809', '497', '820', '544']
