['297', '103', '553', '935', '554']
['859', '48', '598', '908', '917']
['832', '649', '974', '371', '489']
['973', '934', '101', '320', '949']
['100', '413', '403', '292', '462']
['830', '380', '97', '348', '368']
['795', '262', '443', '245', '156']
['149', '428', '230', '760', '667']
['122', '815', '208', '286', '408']
['980', '257', '177', '600', '879']
['560', '492', '823', '939', '817']
['723', '611', '626', '361', '17']
['227', '683', '349', '759', '291']
['130', '985', '886', '332', '51']
['506', '740', '37', '633', '635']
['599', '117', '166', '847', '364']
['530', '545', '688', '550', '454']
['296', '751', '78', '200', '720']
['260', '614', '622', '750', '234']
['819', '797', '915', '252', '603']
['747', '763', '96', '367', '238']
['63', '207', '738', '32', '877']
['999', '486', '943', '833', '386']
['991', '321', '412', '511', '419']
['514', '914', '851', '256', '479']
['315', '860', '204', '777', '379']
['49', '312', '182', '266', '579']
['813', '602', '113', '976', '714']
['327', '446', '993', '279', '528']
['302', '505', '589', '384', '575']
['5', '839', '308', '393', '525']
['362', '950', '192', '889', '498']
['44', '499', '811', '709', '141']
['731', '228', '143', '673', '218']
['547', '650', '664', '264', '828']
['594', '844', '56', '541', '555']
['152', '689', '994', '338', '867']
['846', '376', '644', '185', '682']
['501', '551', '856', '323', '64']
['193', '136', '481', '753', '314']
['289', '705', '259', '896', '754']
['710', '298', '201', '123', '836']
['196', '523', '913', '642', '702']
['558', '871', '640', '107', '111']
['783', '224', '265', '235', '456']
['659', '239', '566', '671', '634']
['326', '93', '244', '755', '711']
['455', '232', '255', '319', '995']
['874', '86', '313', '878', '108']
['718', '699', '604', '470', '834']
['267', '546', '88', '40', '653']
['82', '608', '724', '391', '205']
['452', '194', '38', '971', '299']
['144', '930', '172', '158', '652']
['679', '268', '195', '351', '693']
['399', '765', '662', '561', '221']
['548', '52', '898', '806', '767']
['722', '887', '779', '370', '272']
['276', '472', '687', '59', '278']
['809', '804', '617', '225', '610']
['424', '668', '932', '165', '157']
['620', '849', '346', '431', '273']
['164', '986', '39', '381', '74']
['685', '840', '316', '838', '30']
['733', '730', '478', '929', '188']
['31', '538', '24', '513', '274']
['902', '904', '66', '592', '484']
['231', '178', '148', '863', '732']
['138', '65', '132', '692', '607']
['422', '869', '524', '216', '588']
['962', '885', '360', '537', '253']
['517', '497', '83', '25', '263']
['655', '651', '118', '627', '114']
['449', '788', '186', '344', '77']
['800', '897', '406', '657', '947']
['438', '47', '167', '944', '865']
['383', '609', '527', '145', '90']
['248', '757', '85', '495', '641']
['202', '29', '357', '928', '729']
['636', '518', '14', '964', '726']
['850', '529', '309', '161', '439']
['84', '522', '990', '791', '293']
['855', '686', '624', '542', '909']
['180', '647', '448', '630', '488']
['354', '701', '465', '643', '539']
['160', '387', '778', '275', '798']
['951', '482', '676', '54', '417']
['199', '672', '540', '128', '799']
['57', '447', '758', '854', '441']
['3', '458', '584', '469', '45']
['163', '606', '214', '616', '781']
['717', '684', '437', '104', '294']
['959', '94', '53', '975', '512']
['329', '392', '249', '988', '75']
['872', '835', '480', '648', '992']
['305', '596', '727', '110', '568']
['126', '377', '873', '42', '746']
['363', '948', '181', '967', '780']
['174', '572', '72', '430', '923']
