['145', '335', '63', '454', '270', '264', '79', '451', '306', '413']
['17', '115', '103', '207', '326', '130', '117', '397', '365', '24']
['124', '228', '307', '260', '187', '424', '438', '327', '359', '121']
['201', '461', '176', '324', '193', '159', '284', '269', '26', '385']
['232', '244', '198', '349', '65', '61', '234', '319', '120', '25']
['289', '248', '348', '293', '393', '99', '468', '321', '357', '298']
['9', '5', '477', '213', '415', '267', '418', '446', '435', '250']
['316', '27', '175', '16', '481', '253', '291', '182', '354', '362']
['173', '52', '405', '69', '224', '258', '432', '196', '395', '164']
['463', '38', '78', '489', '104', '194', '475', '274', '356', '332']
['445', '294', '254', '488', '54', '136', '482', '459', '305', '14']
['374', '0', '412', '247', '53', '171', '11', '486', '318', '36']
['227', '191', '350', '366', '425', '146', '336', '42', '277', '262']
['396', '149', '301', '77', '292', '429', '320', '310', '214', '483']
['156', '464', '383', '129', '455', '456', '3', '92', '268', '355']
['484', '442', '376', '215', '203', '259', '40', '428', '127', '218']
['181', '138', '23', '29', '113', '353', '313', '110', '295', '358']
['123', '325', '419', '217', '497', '82', '195', '496', '278', '426']
['351', '72', '116', '211', '472', '285', '275', '338', '84', '140']
['447', '287', '361', '141', '221', '8', '467', '118', '240', '167']
['58', '158', '108', '150', '172', '233', '352', '423', '246', '491']
['342', '98', '245', '479', '466', '100', '387', '271', '157', '67']
['64', '160', '333', '91', '255', '337', '179', '62', '437', '323']
['222', '470', '32', '143', '347', '300', '178', '107', '131', '457']
['462', '137', '183', '420', '46', '408', '422', '95', '83', '6']
['49', '390', '59', '458', '265', '20', '88', '480', '417', '169']
['309', '30', '312', '239', '329', '90', '344', '43', '57', '495']
['400', '41', '31', '261', '105', '266', '411', '238', '102', '112']
['44', '394', '133', '401', '431', '345', '367', '339', '15', '403']
['372', '197', '166', '60', '276', '288', '212', '492', '389', '243']
['471', '498', '154', '382', '209', '22', '490', '407', '427', '223']
['494', '263', '368', '68', '421', '452', '392', '188', '128', '241']
['19', '87', '474', '75', '386', '430', '381', '363', '152', '436']
['192', '170', '406', '493', '279', '189', '199', '453', '273', '155']
['297', '341', '81', '147', '7', '398', '373', '202', '449', '256']
['142', '304', '303', '186', '216', '465', '231', '448', '375', '139']
['101', '37', '328', '409', '346', '364', '473', '56', '439', '21']
['94', '226', '39', '220', '441', '47', '404', '165', '13', '174']
['416', '109', '391', '485', '460', '469', '86', '28', '443', '290']
['230', '200', '206', '314', '163', '340', '80', '144', '478', '330']
['12', '281', '286', '125', '184', '384', '4', '317', '343', '322']
['380', '48', '360', '315', '369', '71', '148', '302', '308', '73']
['162', '414', '296', '236', '1', '205', '311', '378', '134', '379']
['161', '219', '122', '410', '251', '334', '257', '210', '126', '119']
['51', '76', '151', '440', '331', '66', '433', '225', '96', '177']
['242', '272', '499', '402', '371', '487', '135', '74', '168', '476']
['33', '153', '185', '252', '450', '299', '237', '18', '249', '45']
['229', '2', '444', '35', '190', '34', '388', '280', '89', '111']
['180', '85', '282', '283', '132', '114', '106', '235', '55', '377']
['97', '434', '93', '10', '204', '208', '399', '370', '70', '50']
