['640', '137', '125', '199', '720', '426', '127', '832', '576', '227', '231', '433', '317', '26', '184', '602', '925', '63', '169', '51', '979', '170', '968', '489', '118', '10', '406', '693', '338', '303', '252', '982', '388', '48', '967', '166', '634', '828', '809', '22', '560', '603', '104', '645', '277', '656', '413', '443', '467', '978']
['836', '251', '362', '601', '687', '537', '41', '209', '536', '577', '557', '240', '216', '725', '310', '516', '399', '608', '33', '829', '110', '246', '764', '787', '690', '153', '562', '629', '572', '630', '642', '113', '232', '197', '453', '369', '921', '772', '390', '459', '179', '279', '465', '452', '723', '755', '882', '706', '735', '175']
['523', '842', '451', '31', '356', '941', '139', '509', '754', '502', '259', '839', '526', '410', '791', '195', '53', '664', '924', '738', '14', '73', '446', '213', '294', '766', '417', '393', '952', '84', '100', '969', '970', '507', '823', '944', '65', '707', '80', '932', '600', '93', '876', '462', '622', '186', '404', '975', '575', '865']
['162', '485', '108', '570', '470', '247', '45', '504', '676', '900', '514', '285', '90', '237', '811', '355', '144', '886', '163', '456', '300', '802', '859', '464', '416', '311', '131', '796', '122', '593', '12', '181', '684', '192', '670', '293', '680', '671', '781', '46', '421', '737', '615', '993', '953', '221', '133', '617', '701', '64']
['659', '152', '360', '99', '803', '389', '103', '58', '383', '653', '375', '301', '361', '59', '437', '445', '97', '508', '669', '631', '920', '215', '655', '419', '492', '889', '418', '643', '668', '62', '697', '501', '54', '49', '266', '466', '986', '236', '478', '40', '850', '806', '627', '380', '52', '210', '667', '957', '849', '527']
['102', '930', '218', '223', '778', '16', '700', '13', '760', '183', '652', '800', '233', '862', '661', '79', '23', '635', '483', '884', '929', '838', '373', '833', '814', '185', '143', '314', '535', '449', '564', '267', '398', '595', '584', '561', '531', '81', '696', '357', '230', '242', '341', '334', '938', '257', '96', '551', '773', '289']
['263', '620', '998', '896', '765', '907', '450', '387', '971', '318', '740', '660', '207', '847', '89', '689', '407', '326', '789', '330', '851', '460', '709', '721', '609', '748', '107', '529', '142', '549', '177', '401', '513', '804', '28', '852', '258', '694', '650', '855', '505', '35', '799', '435', '286', '168', '910', '824', '111', '519']
['174', '150', '350', '589', '307', '819', '461', '761', '858', '871', '583', '408', '372', '358', '841', '769', '428', '780', '533', '19', '552', '515', '964', '126', '141', '892', '42', '109', '530', '481', '947', '563', '400', '4', '87', '741', '384', '351', '591', '534', '657', '201', '597', '995', '988', '444', '716', '890', '714', '32']
['874', '202', '801', '843', '211', '238', '677', '553', '945', '477', '872', '863', '43', '878', '984', '909', '448', '429', '245', '431', '188', '50', '3', '490', '116', '117', '85', '698', '291', '208', '248', '302', '573', '605', '316', '335', '666', '973', '47', '30', '278', '228', '319', '88', '704', '582', '590', '662', '365', '898']
['494', '647', '845', '114', '771', '987', '705', '488', '124', '747', '681', '541', '121', '928', '92', '719', '607', '594', '544', '157', '808', '911', '795', '194', '320', '658', '27', '585', '637', '309', '579', '171', '663', '377', '934', '916', '386', '753', '7', '728', '950', '599', '857', '112', '861', '588', '160', '905', '632', '82']
['264', '55', '83', '758', '648', '542', '883', '578', '556', '204', '881', '333', '565', '904', '726', '38', '214', '822', '322', '173', '592', '396', '567', '200', '759', '2', '346', '281', '74', '574', '167', '820', '261', '249', '321', '880', '727', '869', '734', '367', '161', '219', '253', '626', '776', '933', '966', '432', '364', '844']
['34', '120', '427', '713', '323', '540', '156', '295', '239', '954', '739', '991', '424', '394', '454', '381', '963', '974', '980', '794', '149', '752', '363', '190', '354', '366', '949', '305', '767', '756', '722', '923', '712', '710', '348', '370', '180', '981', '402', '994', '606', '724', '151', '420', '679', '498', '837', '853', '517', '76']
['718', '566', '649', '777', '587', '624', '528', '532', '955', '379', '486', '831', '546', '21', '482', '939', '500', '225', '473', '480', '159', '901', '224', '959', '757', '9', '331', '119', '438', '879', '265', '17', '568', '908', '763', '922', '775', '545', '61', '352', '580', '91', '132', '296', '788', '685', '619', '342', '135', '915']
['94', '638', '299', '826', '44', '623', '812', '347', '614', '288', '140', '475', '611', '262', '25', '268', '604', '226', '503', '673', '918', '792', '749', '733', '768', '521', '674', '292', '999', '455', '397', '864', '702', '746', '287', '324', '106', '956', '479', '770', '870', '571', '70', '555', '172', '69', '376', '77', '57', '205']
['283', '493', '496', '558', '641', '0', '60', '15', '36', '618', '337', '11', '708', '487', '834', '339', '328', '275', '633', '138', '867', '378', '960', '403', '273', '731', '730', '610', '895', '692', '155', '469', '961', '412', '18', '382', '840', '476', '943', '511', '411', '187', '989', '736', '71', '229', '510', '327', '926', '340']
['276', '665', '894', '946', '78', '332', '732', '472', '306', '644', '686', '897', '222', '783', '206', '877', '762', '95', '56', '625', '447', '875', '940', '217', '805', '815', '315', '298', '744', '797', '790', '547', '997', '683', '115', '371', '123', '651', '786', '129', '353', '270', '919', '813', '835', '873', '244', '951', '178', '101']
['6', '254', '134', '774', '158', '913', '743', '290', '308', '825', '409', '745', '256', '616', '442', '810', '313', '785', '742', '983', '846', '856', '176', '189', '937', '525', '750', '848', '148', '430', '343', '711', '329', '130', '29', '5', '539', '596', '675', '965', '729', '198', '359', '499', '136', '682', '471', '105', '569', '147']
['917', '639', '491', '220', '395', '414', '243', '212', '468', '164', '581', '543', '495', '250', '24', '887', '20', '344', '827', '793', '154', '520', '715', '1', '691', '586', '914', '784', '612', '550', '906', '703', '868', '272', '271', '497', '391', '798', '203', '962', '977', '274', '304', '415', '436', '559', '260', '86', '893', '936']
['474', '66', '349', '860', '128', '854', '621', '512', '927', '992', '891', '816', '931', '241', '646', '441', '165', '717', '374', '423', '506', '345', '234', '688', '484', '439', '518', '779', '899', '628', '538', '817', '434', '990', '818', '39', '193', '405', '463', '996', '145', '196', '866', '554', '598', '8', '284', '37', '422', '958']
['440', '255', '888', '636', '297', '912', '948', '885', '678', '336', '524', '807', '935', '972', '458', '67', '72', '903', '699', '325', '821', '368', '522', '654', '985', '942', '280', '75', '146', '782', '269', '613', '425', '548', '385', '751', '976', '282', '235', '191', '902', '312', '98', '392', '182', '695', '457', '672', '830', '68']
