['170', '480', '361', '30', '321', '97', '104', '204', '380', '337', '116', '200', '371', '285', '391', '223', '398', '493', '76', '61', '363', '335', '33', '16', '150']
['354', '290', '95', '370', '85', '427', '470', '145', '114', '251', '166', '312', '373', '129', '254', '454', '131', '319', '479', '428', '452', '62', '136', '106', '408']
['367', '475', '47', '151', '184', '352', '261', '365', '153', '73', '331', '247', '68', '306', '253', '93', '212', '389', '123', '415', '128', '433', '250', '206', '96']
['393', '100', '437', '317', '111', '291', '332', '173', '405', '195', '313', '441', '124', '316', '494', '282', '420', '351', '292', '459', '348', '40', '70', '295', '425']
['27', '191', '133', '71', '83', '74', '226', '23', '419', '98', '423', '72', '82', '278', '310', '271', '489', '19', '52', '390', '146', '233', '57', '314', '192']
['417', '249', '467', '483', '227', '5', '172', '399', '215', '490', '461', '149', '435', '21', '401', '43', '297', '77', '214', '448', '187', '152', '24', '288', '392']
['58', '362', '446', '121', '411', '498', '400', '63', '36', '339', '473', '122', '484', '315', '65', '376', '424', '328', '320', '430', '25', '162', '188', '485', '161']
['28', '344', '349', '92', '3', '139', '44', '66', '382', '130', '476', '381', '366', '274', '426', '67', '113', '90', '168', '134', '384', '258', '69', '368', '457']
['201', '50', '220', '451', '234', '35', '79', '396', '154', '383', '164', '341', '232', '252', '235', '196', '336', '112', '462', '499', '80', '225', '219', '210', '171']
['59', '286', '486', '156', '402', '160', '89', '207', '39', '283', '31', '482', '472', '205', '276', '12', '281', '42', '177', '132', '236', '458', '305', '265', '81']
['78', '406', '377', '300', '18', '347', '375', '222', '54', '17', '294', '183', '20', '202', '413', '268', '397', '159', '374', '126', '216', '409', '303', '436', '256']
['53', '230', '311', '243', '56', '356', '474', '157', '142', '353', '318', '323', '238', '414', '460', '87', '51', '218', '193', '277', '394', '163', '333', '301', '477']
['257', '369', '46', '137', '463', '487', '239', '293', '140', '155', '421', '302', '364', '455', '117', '0', '266', '2', '385', '372', '101', '358', '135', '496', '296']
['287', '491', '158', '325', '275', '119', '245', '443', '32', '260', '289', '284', '465', '4', '99', '141', '324', '273', '127', '327', '248', '450', '357', '495', '86']
['94', '197', '388', '422', '308', '147', '55', '379', '14', '445', '262', '237', '464', '199', '346', '169', '64', '118', '174', '355', '444', '272', '182', '213', '29']
['176', '181', '189', '88', '431', '488', '175', '91', '403', '440', '102', '395', '15', '340', '334', '322', '10', '259', '229', '37', '167', '343', '240', '298', '38']
['8', '9', '267', '447', '279', '263', '110', '280', '211', '109', '143', '387', '148', '442', '350', '481', '404', '469', '329', '270', '264', '120', '6', '330', '194']
['185', '359', '429', '412', '246', '103', '1', '478', '22', '198', '180', '11', '241', '307', '34', '416', '360', '144', '453', '190', '228', '492', '309', '299', '105']
['338', '242', '418', '49', '138', '269', '456', '304', '410', '231', '108', '209', '434', '221', '468', '497', '439', '7', '326', '217', '75', '449', '407', '466', '432']
['13', '179', '84', '48', '471', '224', '386', '186', '345', '342', '125', '45', '107', '178', '165', '41', '115', '208', '255', '378', '26', '438', '203', '244', '60']
