['9', '133', '119', '398', '820', '678', '813', '897', '522', '40', '502', '760', '31', '687', '410', '980', '430', '157', '464', '460']
['293', '761', '874', '531', '473', '663', '716', '832', '527', '463', '116', '660', '506', '784', '394', '627', '558', '389', '721', '779']
['915', '271', '965', '624', '551', '879', '359', '644', '41', '529', '843', '201', '815', '910', '216', '607', '655', '567', '346', '55']
['792', '812', '171', '285', '885', '417', '202', '409', '783', '438', '249', '375', '787', '208', '946', '993', '239', '580', '151', '978']
['46', '661', '92', '728', '955', '88', '206', '242', '111', '424', '737', '262', '850', '851', '385', '942', '672', '43', '947', '896']
['685', '54', '671', '59', '791', '403', '992', '72', '457', '411', '174', '353', '996', '727', '689', '747', '240', '483', '342', '847']
['130', '606', '241', '889', '507', '864', '893', '881', '32', '427', '691', '102', '638', '273', '908', '550', '789', '973', '953', '948']
['229', '600', '565', '315', '734', '476', '220', '932', '269', '117', '165', '613', '690', '692', '48', '530', '857', '913', '81', '268']
['405', '884', '443', '518', '235', '444', '542', '901', '149', '626', '64', '508', '379', '479', '450', '797', '802', '368', '751', '958']
['266', '96', '891', '80', '200', '429', '798', '13', '138', '83', '549', '441', '381', '504', '823', '775', '20', '853', '637', '251']
['275', '562', '278', '806', '935', '680', '218', '686', '865', '755', '107', '325', '125', '87', '745', '367', '261', '557', '748', '265']
['402', '703', '726', '642', '733', '322', '862', '67', '250', '230', '923', '494', '256', '555', '36', '365', '47', '817', '446', '856']
['321', '870', '738', '490', '288', '539', '399', '226', '334', '423', '796', '445', '596', '290', '184', '841', '619', '844', '650', '452']
['609', '564', '331', '3', '852', '22', '972', '300', '764', '401', '681', '579', '366', '892', '305', '390', '289', '803', '758', '618']
['811', '563', '988', '219', '868', '209', '234', '79', '938', '5', '341', '420', '338', '434', '8', '772', '270', '630', '257', '759']
['369', '561', '163', '511', '380', '500', '513', '605', '85', '158', '546', '186', '711', '89', '827', '786', '582', '12', '553', '493']
['828', '316', '196', '842', '298', '545', '384', '121', '917', '623', '621', '468', '509', '959', '258', '263', '113', '63', '142', '42']
['931', '377', '318', '525', '132', '804', '629', '861', '594', '503', '127', '684', '491', '610', '840', '830', '576', '512', '724', '700']
['228', '887', '432', '350', '750', '330', '984', '440', '574', '929', '161', '382', '649', '356', '137', '421', '14', '795', '982', '143']
['462', '914', '735', '990', '101', '505', '309', '859', '474', '636', '414', '936', '396', '898', '145', '961', '631', '148', '651', '167']
['69', '632', '560', '283', '499', '98', '395', '569', '544', '447', '221', '863', '743', '470', '0', '845', '461', '191', '877', '679']
['800', '192', '591', '767', '329', '24', '222', '962', '523', '326', '945', '482', '776', '177', '57', '304', '404', '274', '255', '345']
['707', '287', '577', '95', '991', '259', '49', '905', '977', '426', '883', '363', '740', '477', '351', '30', '807', '916', '456', '968']
['645', '159', '236', '128', '756', '2', '488', '190', '109', '810', '997', '7', '340', '292', '308', '437', '683', '487', '876', '617']
['670', '244', '436', '950', '533', '6', '486', '826', '925', '124', '697', '248', '657', '253', '837', '875', '628', '371', '391', '587']
['688', '753', '439', '814', '894', '808', '712', '954', '25', '306', '526', '100', '592', '880', '924', '752', '454', '162', '52', '65']
['44', '995', '84', '926', '33', '757', '666', '122', '833', '139', '556', '785', '578', '754', '212', '900', '768', '781', '510', '552']
['701', '453', '766', '994', '195', '348', '115', '736', '952', '682', '431', '601', '793', '616', '572', '819', '653', '571', '135', '188']
['595', '339', '35', '516', '706', '818', '114', '129', '355', '902', '659', '906', '471', '164', '352', '485', '834', '664', '987', '921']
['1', '825', '919', '809', '194', '110', '829', '944', '264', '75', '612', '895', '708', '71', '393', '39', '112', '665', '354', '360']
['614', '170', '376', '979', '203', '484', '641', '568', '302', '848', '11', '719', '846', '56', '597', '899', '790', '777', '704', '920']
['328', '428', '68', '675', '374', '741', '732', '937', '771', '933', '422', '774', '501', '45', '296', '635', '179', '749', '37', '51']
['173', '412', '397', '247', '480', '466', '770', '86', '705', '939', '61', '584', '205', '717', '930', '615', '639', '731', '237', '310']
['146', '581', '492', '327', '970', '243', '418', '765', '999', '413', '886', '964', '199', '388', '153', '821', '673', '951', '960', '449']
['291', '515', '169', '106', '927', '364', '118', '974', '260', '349', '537', '669', '73', '585', '224', '123', '416', '816', '640', '541']
['907', '547', '38', '854', '21', '459', '860', '805', '668', '415', '136', '213', '357', '941', '362', '590', '985', '554', '134', '882']
['521', '336', '467', '94', '822', '126', '674', '583', '966', '963', '150', '517', '215', '295', '284', '836', '573', '144', '540', '407']
['603', '90', '801', '448', '969', '358', '472', '303', '971', '181', '559', '320', '16', '715', '799', '458', '912', '702', '337', '233']
['66', '586', '478', '986', '839', '718', '425', '769', '323', '70', '599', '140', '903', '156', '91', '481', '185', '497', '82', '280']
['217', '730', '172', '667', '975', '588', '333', '246', '455', '534', '496', '729', '62', '746', '232', '154', '922', '211', '307', '773']
['742', '911', '19', '940', '593', '344', '29', '831', '532', '714', '372', '294', '967', '314', '643', '519', '475', '312', '34', '536']
['909', '713', '622', '297', '77', '838', '23', '238', '866', '634', '311', '147', '387', '105', '286', '855', '277', '245', '223', '299']
['317', '904', '872', '918', '53', '324', '725', '858', '373', '524', '301', '722', '120', '620', '267', '604', '981', '97', '989', '608']
