['164', '279', '412', '311', '222', '132', '292', '378', '144', '93']
['269', '297', '441', '468', '172', '488', '260', '374', '307', '281']
['294', '91', '138', '205', '188', '149', '461', '68', '413', '235']
['273', '227', '10', '133', '434', '405', '251', '425', '287', '324']
['163', '15', '313', '367', '106', '389', '421', '409', '303', '146']
['33', '422', '493', '475', '366', '9', '148', '238', '285', '232']
['309', '226', '73', '159', '30', '95', '2', '284', '270', '217']
['399', '101', '259', '364', '152', '70', '83', '124', '165', '63']
['380', '194', '114', '178', '359', '329', '343', '442', '268', '19']
['302', '107', '490', '443', '381', '27', '241', '75', '464', '338']
['383', '104', '352', '129', '248', '207', '80', '78', '286', '44']
['156', '487', '369', '365', '170', '262', '266', '314', '387', '79']
['388', '426', '401', '455', '72', '456', '141', '333', '402', '233']
['414', '47', '242', '151', '449', '187', '376', '176', '135', '288']
['221', '432', '382', '310', '240', '236', '315', '295', '278', '99']
['347', '171', '225', '419', '211', '51', '396', '46', '214', '77']
['485', '299', '263', '431', '224', '345', '182', '88', '471', '416']
['108', '393', '392', '126', '228', '271', '174', '403', '169', '137']
['158', '58', '20', '56', '1', '29', '219', '43', '346', '160']
['486', '247', '82', '0', '197', '276', '349', '38', '190', '261']
['143', '5', '231', '64', '356', '291', '147', '13', '25', '301']
['332', '418', '474', '320', '326', '397', '330', '267', '69', '191']
['168', '491', '239', '181', '394', '496', '245', '445', '218', '136']
['430', '368', '42', '339', '175', '256', '386', '481', '334', '444']
['494', '98', '290', '37', '59', '11', '16', '26', '90', '206']
['459', '115', '196', '478', '308', '282', '322', '350', '186', '351']
['390', '395', '120', '321', '127', '415', '335', '155', '215', '189']
['252', '154', '100', '327', '497', '323', '358', '363', '264', '344']
['255', '454', '427', '404', '451', '32', '243', '440', '6', '257']
['210', '317', '448', '254', '360', '293', '436', '117', '179', '118']
['408', '21', '375', '492', '316', '85', '280', '208', '201', '134']
['479', '428', '312', '61', '250', '22', '277', '462', '304', '472']
['193', '433', '71', '289', '407', '306', '23', '362', '167', '109']
['36', '150', '96', '3', '469', '328', '400', '391', '458', '212']
['411', '180', '89', '447', '438', '50', '57', '499', '157', '258']
['39', '8', '31', '446', '348', '128', '76', '450', '274', '65']
['184', '130', '97', '113', '110', '371', '60', '12', '153', '62']
['4', '384', '435', '49', '373', '237', '340', '122', '318', '92']
['300', '52', '489', '398', '377', '87', '385', '296', '477', '209']
['341', '406', '17', '40', '131', '139', '220', '166', '162', '429']
['34', '361', '55', '473', '298', '14', '183', '476', '140', '467']
['74', '234', '355', '213', '94', '84', '353', '424', '48', '67']
['123', '121', '460', '336', '482', '417', '480', '372', '204', '466']
['457', '203', '325', '86', '439', '483', '66', '283', '198', '305']
['195', '216', '463', '142', '423', '265', '199', '192', '102', '28']
['177', '354', '337', '103', '249', '484', '45', '410', '112', '437']
['370', '272', '173', '253', '229', '357', '470', '452', '465', '105']
['81', '420', '223', '116', '18', '275', '244', '35', '342', '119']
['111', '202', '246', '24', '379', '230', '53', '161', '145', '54']
['7', '185', '498', '495', '319', '331', '125', '41', '453', '200']
