['14', '144', '448', '83', '270', '202', '413', '568', '55', '256']
['567', '353', '231', '414', '380', '451', '742', '756', '725', '308']
['555', '631', '765', '149', '650', '781', '759', '280', '148', '482']
['684', '502', '194', '137', '234', '38', '452', '32', '260', '562']
['707', '406', '698', '532', '181', '778', '465', '695', '278', '305']
['127', '799', '476', '73', '185', '171', '547', '291', '390', '61']
['645', '793', '210', '419', '648', '408', '135', '487', '492', '741']
['255', '23', '102', '471', '737', '338', '661', '680', '758', '290']
['520', '334', '538', '8', '345', '84', '304', '459', '307', '254']
['771', '730', '195', '198', '339', '211', '409', '690', '317', '208']
['123', '431', '469', '217', '486', '593', '589', '773', '266', '553']
['739', '783', '364', '9', '542', '168', '281', '35', '750', '358']
['186', '239', '140', '797', '445', '776', '366', '359', '626', '230']
['65', '429', '375', '432', '667', '213', '457', '620', '497', '446']
['354', '402', '45', '396', '722', '303', '20', '174', '229', '479']
['582', '622', '672', '248', '111', '124', '176', '441', '268', '435']
['141', '162', '623', '37', '447', '689', '39', '583', '36', '611']
['594', '508', '179', '306', '718', '663', '263', '507', '573', '58']
['163', '1', '697', '769', '329', '75', '762', '731', '346', '543']
['285', '139', '10', '506', '220', '488', '122', '777', '362', '324']
['724', '349', '205', '662', '182', '613', '13', '388', '343', '652']
['56', '275', '15', '34', '637', '238', '699', '700', '468', '372']
['504', '62', '219', '214', '753', '635', '754', '649', '614', '313']
['503', '579', '79', '297', '527', '702', '404', '795', '116', '296']
['33', '284', '654', '576', '524', '540', '336', '282', '200', '694']
['251', '679', '315', '779', '382', '494', '177', '671', '113', '98']
['490', '449', '201', '253', '22', '624', '158', '21', '165', '68']
['438', '669', '552', '625', '378', '796', '241', '310', '658', '472']
['598', '91', '50', '309', '244', '610', '641', '549', '499', '189']
['788', '287', '726', '770', '146', '760', '417', '558', '63', '577']
['16', '442', '311', '696', '393', '218', '60', '101', '46', '289']
['424', '423', '166', '320', '78', '19', '537', '120', '546', '344']
['569', '561', '258', '236', '440', '665', '206', '747', '87', '215']
['400', '674', '688', '93', '410', '350', '72', '18', '265', '386']
['164', '646', '473', '721', '458', '192', '480', '621', '190', '178']
['53', '80', '318', '535', '554', '420', '627', '271', '262', '450']
['209', '763', '243', '371', '430', '333', '545', '489', '434', '279']
['99', '27', '738', '155', '638', '710', '103', '3', '109', '76']
['617', '143', '225', '566', '110', '609', '474', '709', '526', '599']
['259', '138', '115', '203', '720', '395', '518', '782', '774', '483']
['732', '245', '82', '12', '341', '556', '88', '676', '522', '85']
['288', '235', '106', '734', '456', '757', '224', '188', '563', '733']
['323', '746', '616', '505', '368', '536', '612', '269', '249', '29']
['292', '711', '775', '385', '24', '425', '421', '602', '401', '240']
['337', '736', '193', '207', '551', '659', '277', '352', '517', '94']
['713', '719', '167', '59', '328', '312', '221', '785', '727', '717']
['367', '590', '31', '587', '666', '655', '237', '407', '704', '570']
['150', '466', '374', '161', '121', '597', '376', '0', '134', '40']
['71', '564', '274', '112', '712', '533', '247', '156', '657', '475']
['529', '636', '426', '331', '361', '283', '342', '478', '477', '117']
['511', '183', '464', '147', '521', '422', '175', '708', '30', '544']
['340', '355', '232', '69', '130', '691', '322', '514', '470', '525']
['600', '157', '495', '379', '603', '4', '439', '286', '455', '153']
['299', '510', '51', '571', '565', '630', '5', '264', '365', '670']
['768', '216', '223', '105', '26', '740', '43', '142', '360', '462']
['226', '412', '96', '581', '415', '513', '267', '118', '501', '357']
['145', '151', '335', '89', '515', '523', '250', '391', '531', '705']
['384', '601', '560', '394', '798', '703', '295', '687', '41', '745']
['428', '550', '493', '780', '491', '605', '454', '453', '772', '199']
['187', '298', '169', '606', '321', '74', '585', '786', '749', '108']
['706', '509', '257', '437', '104', '714', '129', '54', '791', '633']
['2', '154', '70', '681', '575', '693', '628', '48', '300', '411']
['619', '405', '92', '6', '530', '95', '64', '348', '572', '233']
['294', '107', '242', '767', '66', '90', '398', '327', '794', '325']
['252', '557', '596', '173', '332', '81', '751', '57', '381', '604']
['204', '716', '272', '228', '634', '789', '755', '715', '444', '790']
['678', '685', '397', '673', '644', '212', '639', '723', '273', '766']
['347', '500', '498', '86', '170', '692', '49', '443', '356', '416']
['191', '373', '787', '319', '222', '643', '615', '276', '159', '735']
['17', '653', '660', '591', '261', '196', '588', '42', '608', '764']
['496', '574', '125', '389', '528', '44', '7', '399', '25', '548']
['682', '114', '132', '52', '47', '784', '580', '559', '28', '436']
['460', '128', '67', '729', '701', '330', '160', '534', '519', '126']
['461', '363', '136', '433', '77', '752', '683', '387', '743', '377']
['664', '744', '686', '640', '675', '314', '467', '512', '197', '792']
['607', '418', '629', '592', '618', '293', '301', '484', '642', '668']
['119', '227', '632', '11', '516', '748', '180', '326', '578', '133']
['131', '302', '403', '463', '541', '595', '481', '383', '97', '647']
['152', '539', '677', '584', '172', '656', '728', '392', '485', '761']
['184', '351', '651', '369', '316', '246', '370', '100', '586', '427']
