['157', '117', '87', '479', '69', '100', '397', '420', '291', '275', '343', '133', '76', '9', '50', '378', '49', '332', '152', '95']
['380', '42', '93', '344', '183', '66', '337', '40', '431', '241', '249', '168', '454', '321', '296', '64', '440', '328', '10', '361']
['316', '127', '114', '281', '403', '273', '148', '30', '111', '171', '106', '176', '471', '396', '351', '121', '102', '447', '323', '350']
['453', '450', '389', '97', '340', '357', '16', '376', '393', '348', '261', '262', '386', '442', '161', '411', '20', '287', '86', '124']
['155', '483', '134', '65', '178', '419', '239', '371', '31', '35', '108', '172', '367', '412', '60', '197', '465', '153', '475', '24']
['83', '300', '359', '131', '250', '375', '222', '260', '53', '451', '304', '32', '446', '80', '94', '331', '288', '253', '231', '434']
['59', '25', '136', '481', '104', '170', '473', '216', '113', '167', '303', '470', '252', '126', '213', '269', '15', '286', '254', '142']
['186', '151', '1', '72', '362', '317', '79', '17', '51', '205', '297', '493', '415', '27', '391', '43', '52', '74', '315', '338']
['406', '346', '345', '63', '392', '19', '103', '265', '257', '149', '78', '423', '143', '460', '498', '212', '192', '449', '23', '307']
['405', '68', '383', '236', '129', '349', '425', '56', '354', '251', '227', '57', '290', '18', '456', '199', '54', '235', '214', '466']
['91', '107', '3', '246', '486', '77', '233', '203', '55', '418', '407', '229', '444', '5', '429', '318', '174', '358', '132', '363']
['339', '319', '41', '46', '71', '484', '341', '34', '377', '112', '370', '267', '219', '190', '468', '277', '369', '232', '430', '435']
['169', '120', '374', '365', '47', '206', '274', '301', '67', '312', '333', '298', '330', '61', '279', '266', '384', '242', '264', '285']
['284', '207', '404', '258', '208', '443', '12', '439', '306', '271', '181', '156', '416', '146', '302', '160', '130', '122', '280', '272']
['140', '81', '196', '379', '217', '115', '221', '478', '230', '276', '90', '225', '8', '497', '158', '165', '352', '244', '84', '356']
['11', '395', '355', '177', '327', '457', '218', '494', '163', '92', '85', '381', '270', '88', '282', '259', '201', '329', '324', '247']
['445', '448', '62', '293', '139', '436', '256', '145', '310', '455', '278', '474', '488', '347', '325', '96', '185', '141', '314', '125']
['469', '58', '311', '360', '36', '38', '427', '364', '398', '373', '123', '335', '44', '402', '308', '198', '228', '7', '491', '28']
['372', '422', '89', '173', '292', '223', '495', '101', '414', '209', '128', '320', '179', '164', '426', '485', '463', '467', '6', '294']
['283', '75', '489', '499', '166', '187', '464', '116', '248', '299', '135', '182', '211', '496', '193', '289', '191', '438', '189', '441']
['295', '409', '408', '118', '353', '175', '263', '472', '390', '39', '150', '0', '421', '432', '22', '400', '255', '45', '368', '234']
['138', '14', '4', '382', '224', '480', '437', '202', '82', '180', '33', '462', '243', '137', '309', '98', '105', '385', '245', '147']
['387', '2', '37', '238', '424', '188', '26', '99', '200', '154', '70', '13', '184', '210', '322', '452', '159', '29', '336', '476']
['119', '428', '461', '162', '334', '109', '268', '417', '195', '433', '220', '487', '204', '215', '413', '313', '477', '21', '226', '492']
['366', '237', '388', '110', '240', '401', '394', '48', '490', '458', '73', '305', '399', '194', '326', '144', '342', '410', '482', '459']
