['270', '224', '328', '343', '429', '368', '244', '364', '152', '384', '337', '261', '265', '2', '45', '391', '146', '378', '11', '266']
['279', '44', '398', '315', '483', '79', '290', '84', '156', '363', '178', '49', '56', '150', '85', '441', '176', '355', '452', '122']
['352', '170', '223', '9', '164', '278', '340', '275', '367', '298', '80', '232', '274', '138', '57', '362', '58', '126', '69', '66']
['295', '365', '422', '132', '213', '258', '486', '347', '442', '1', '312', '98', '247', '109', '493', '490', '499', '410', '220', '10']
['435', '42', '380', '381', '88', '460', '160', '425', '450', '68', '54', '112', '242', '241', '361', '7', '397', '192', '332', '225']
['482', '276', '65', '294', '83', '446', '287', '182', '495', '405', '191', '267', '269', '8', '366', '40', '497', '348', '496', '144']
['52', '318', '400', '125', '37', '406', '424', '431', '128', '121', '387', '413', '465', '203', '250', '171', '401', '492', '481', '167']
['466', '169', '333', '6', '205', '20', '39', '334', '97', '236', '475', '93', '281', '233', '423', '430', '296', '260', '440', '22']
['491', '81', '277', '454', '245', '314', '383', '273', '25', '50', '329', '326', '324', '28', '159', '222', '155', '321', '444', '136']
['432', '263', '377', '214', '217', '117', '200', '175', '124', '360', '390', '149', '111', '130', '251', '134', '448', '202', '476', '179']
['271', '186', '443', '76', '38', '47', '302', '322', '140', '307', '86', '92', '471', '408', '91', '487', '183', '457', '48', '181']
['399', '187', '484', '154', '3', '415', '51', '19', '46', '153', '341', '114', '462', '82', '172', '163', '388', '63', '426', '235']
['243', '216', '439', '166', '359', '162', '131', '353', '392', '407', '498', '249', '71', '468', '62', '306', '262', '418', '470', '143']
['226', '285', '180', '194', '78', '33', '89', '316', '301', '310', '323', '137', '102', '53', '12', '74', '94', '240', '139', '331']
['18', '14', '29', '477', '96', '60', '317', '419', '350', '103', '108', '113', '346', '99', '289', '168', '386', '24', '239', '221']
['148', '195', '349', '206', '489', '32', '212', '218', '73', '72', '356', '480', '449', '313', '230', '43', '31', '0', '15', '16']
['473', '106', '129', '115', '41', '494', '458', '351', '345', '379', '101', '118', '385', '133', '100', '369', '215', '211', '207', '161']
['339', '116', '395', '396', '90', '286', '219', '208', '70', '433', '437', '438', '27', '428', '371', '165', '451', '300', '336', '320']
['417', '280', '248', '264', '338', '26', '403', '427', '382', '67', '198', '145', '210', '184', '21', '485', '197', '370', '142', '325']
['36', '291', '196', '459', '158', '141', '404', '409', '414', '59', '252', '188', '373', '254', '330', '104', '209', '358', '17', '147']
['190', '5', '394', '472', '30', '463', '135', '120', '123', '107', '227', '95', '228', '237', '283', '297', '238', '77', '257', '259']
['372', '185', '282', '23', '305', '335', '319', '402', '412', '455', '445', '13', '173', '374', '308', '151', '434', '488', '64', '193']
['327', '299', '461', '469', '61', '309', '456', '453', '416', '253', '35', '411', '447', '231', '229', '201', '174', '389', '421', '436']
['55', '293', '177', '464', '342', '357', '479', '467', '478', '474', '292', '255', '272', '268', '304', '303', '157', '376', '393', '311']
['344', '284', '246', '199', '87', '127', '234', '189', '375', '105', '4', '34', '354', '288', '204', '420', '75', '110', '256', '119']
