['213', '136', '147', '198', '326', '370', '405', '418', '423', '447']
['324', '387', '133', '154', '85', '448', '449', '361', '142', '408']
['433', '189', '31', '38', '96', '245', '18', '101', '97', '320']
['382', '349', '266', '112', '371', '100', '248', '422', '332', '173']
['277', '67', '398', '457', '217', '450', '403', '11', '130', '424']
['123', '104', '317', '90', '249', '459', '143', '331', '468', '179']
['176', '9', '122', '57', '342', '108', '315', '200', '414', '314']
['297', '316', '140', '227', '485', '124', '241', '495', '177', '76']
['174', '454', '295', '397', '211', '285', '141', '181', '291', '381']
['347', '260', '252', '410', '369', '35', '238', '235', '72', '299']
['7', '164', '440', '429', '255', '279', '127', '82', '80', '32']
['22', '498', '48', '310', '69', '27', '420', '290', '365', '311']
['99', '65', '222', '139', '366', '284', '59', '386', '490', '334']
['192', '413', '166', '93', '321', '215', '3', '8', '160', '115']
['298', '75', '118', '399', '51', '444', '206', '258', '441', '355']
['126', '416', '390', '499', '348', '488', '53', '496', '254', '207']
['415', '466', '168', '464', '196', '70', '480', '367', '402', '428']
['148', '451', '373', '323', '304', '110', '472', '121', '19', '157']
['178', '102', '12', '494', '47', '52', '58', '431', '303', '40']
['234', '119', '341', '144', '483', '158', '345', '470', '259', '443']
['281', '330', '475', '129', '204', '30', '73', '378', '461', '455']
['343', '221', '137', '417', '430', '64', '125', '256', '0', '276']
['467', '219', '236', '20', '407', '474', '437', '265', '23', '208']
['439', '463', '98', '13', '356', '476', '264', '263', '306', '319']
['261', '17', '372', '267', '210', '318', '353', '150', '309', '163']
['81', '25', '282', '305', '105', '329', '307', '434', '394', '274']
['357', '225', '462', '199', '170', '33', '128', '156', '362', '34']
['106', '445', '94', '88', '111', '487', '493', '28', '280', '50']
['218', '78', '419', '251', '24', '95', '460', '286', '187', '302']
['287', '231', '388', '257', '114', '313', '338', '194', '337', '243']
['77', '246', '375', '182', '401', '272', '289', '479', '421', '113']
['270', '404', '384', '146', '301', '135', '185', '212', '224', '481']
['383', '247', '312', '426', '86', '380', '92', '84', '391', '201']
['205', '492', '191', '62', '43', '262', '209', '389', '167', '220']
['195', '377', '107', '400', '293', '66', '5', '202', '55', '438']
['54', '171', '244', '292', '250', '406', '229', '1', '379', '46']
['41', '71', '132', '109', '6', '26', '183', '214', '482', '21']
['89', '240', '335', '436', '186', '435', '63', '296', '374', '328']
['351', '153', '473', '346', '452', '339', '364', '49', '138', '159']
['427', '44', '497', '169', '15', '478', '242', '442', '184', '294']
['308', '453', '393', '87', '336', '425', '29', '239', '271', '288']
['226', '172', '91', '340', '396', '368', '151', '233', '190', '350']
['278', '175', '36', '56', '327', '358', '273', '325', '4', '79']
['188', '491', '322', '165', '68', '458', '60', '180', '117', '300']
['409', '484', '228', '469', '197', '432', '392', '152', '45', '360']
['477', '120', '37', '2', '376', '16', '237', '10', '385', '344']
['232', '42', '354', '363', '352', '465', '456', '83', '162', '333']
['39', '230', '486', '149', '131', '161', '116', '216', '203', '471']
['359', '268', '193', '61', '269', '223', '489', '134', '395', '253']
['283', '446', '412', '145', '411', '14', '155', '103', '275', '74']
