['387', '304', '154', '201', '270', '111', '355', '115', '165', '171', '97', '315', '219', '268', '274', '281']
['210', '64', '352', '333', '84', '89', '289', '93', '361', '317', '31', '74', '224', '243', '18', '332']
['386', '293', '114', '311', '129', '322', '376', '202', '193', '116', '221', '324', '295', '214', '374', '292']
['215', '336', '55', '207', '234', '53', '389', '157', '149', '9', '30', '344', '394', '296', '81', '276']
['181', '373', '22', '300', '41', '236', '381', '255', '13', '382', '287', '90', '338', '249', '267', '180']
['107', '329', '227', '48', '160', '392', '85', '319', '209', '398', '42', '348', '86', '159', '290', '351']
['38', '2', '186', '71', '395', '320', '73', '271', '17', '194', '364', '59', '52', '170', '87', '183']
['108', '375', '258', '337', '195', '378', '321', '262', '102', '360', '323', '197', '327', '67', '372', '299']
['371', '182', '134', '206', '285', '216', '312', '6', '353', '137', '384', '350', '365', '128', '359', '121']
['325', '385', '135', '339', '36', '223', '233', '184', '346', '50', '335', '11', '104', '82', '112', '291']
['213', '23', '264', '275', '313', '222', '57', '117', '257', '150', '1', '326', '132', '341', '368', '256']
['123', '363', '277', '173', '56', '302', '51', '164', '288', '21', '145', '40', '99', '340', '91', '152']
['203', '247', '39', '153', '397', '78', '94', '366', '141', '254', '244', '33', '127', '8', '284', '367']
['345', '238', '331', '400', '80', '101', '306', '29', '280', '66', '198', '28', '49', '136', '237', '301']
['43', '45', '75', '250', '399', '106', '58', '380', '369', '283', '230', '119', '330', '88', '358', '294']
['231', '204', '105', '168', '354', '261', '228', '297', '185', '24', '124', '388', '278', '298', '252', '196']
['14', '308', '155', '245', '169', '189', '239', '26', '242', '98', '225', '120', '163', '54', '68', '156']
['377', '20', '240', '103', '211', '272', '70', '110', '390', '140', '370', '139', '347', '4', '34', '309']
['167', '191', '241', '125', '27', '60', '63', '19', '200', '37', '3', '253', '130', '279', '118', '303']
['62', '69', '131', '343', '188', '391', '217', '235', '166', '15', '310', '226', '212', '342', '142', '100']
['307', '10', '176', '7', '177', '162', '362', '76', '61', '379', '246', '248', '133', '273', '148', '232']
['269', '72', '122', '92', '138', '79', '83', '263', '95', '357', '318', '229', '266', '151', '260', '96']
['179', '396', '172', '65', '349', '126', '356', '143', '158', '35', '220', '265', '77', '113', '383', '16']
['328', '305', '286', '218', '190', '314', '175', '147', '12', '192', '174', '109', '44', '393', '282', '334']
['208', '205', '161', '316', '178', '25', '47', '251', '5', '199', '146', '32', '187', '144', '46', '259']
