['437', '105', '200', '183', '284']
['52', '315', '328', '259', '403']
['310', '424', '42', '161', '383']
['475', '59', '25', '344', '208']
['168', '265', '196', '476', '74']
['75', '157', '336', '481', '226']
['428', '171', '187', '434', '101']
['472', '365', '334', '441', '459']
['111', '8', '49', '412', '262']
['446', '1', '470', '333', '448']
['432', '462', '372', '468', '35']
['377', '251', '125', '247', '320']
['386', '252', '311', '146', '62']
['123', '389', '345', '106', '439']
['7', '96', '484', '108', '324']
['76', '378', '359', '131', '419']
['308', '29', '120', '70', '86']
['156', '436', '358', '433', '346']
['368', '258', '181', '222', '199']
['27', '417', '331', '253', '435']
['48', '293', '316', '460', '370']
['119', '416', '397', '176', '339']
['205', '231', '271', '264', '147']
['145', '172', '159', '243', '395']
['129', '88', '165', '0', '137']
['387', '352', '413', '291', '14']
['212', '288', '499', '220', '197']
['479', '254', '103', '6', '388']
['115', '382', '279', '294', '228']
['488', '214', '369', '34', '93']
['56', '374', '9', '256', '18']
['275', '152', '353', '483', '296']
['385', '391', '319', '466', '287']
['234', '429', '307', '349', '80']
['116', '135', '474', '85', '399']
['242', '300', '380', '402', '136']
['163', '117', '249', '112', '444']
['233', '94', '236', '128', '143']
['285', '20', '164', '295', '109']
['179', '139', '404', '379', '87']
['10', '224', '162', '33', '277']
['292', '39', '84', '182', '464']
['245', '451', '273', '274', '154']
['174', '47', '341', '170', '45']
['149', '21', '423', '276', '407']
['107', '467', '280', '102', '230']
['188', '68', '189', '83', '215']
['354', '438', '23', '260', '113']
['375', '298', '160', '54', '67']
['278', '304', '340', '478', '166']
['61', '221', '376', '126', '297']
['443', '301', '210', '497', '498']
['414', '267', '46', '490', '5']
['440', '309', '191', '351', '489']
['318', '142', '169', '13', '63']
['269', '425', '73', '357', '410']
['78', '350', '104', '463', '167']
['43', '36', '173', '209', '485']
['204', '248', '427', '244', '17']
['202', '347', '480', '241', '239']
['406', '471', '272', '461', '449']
['477', '455', '363', '178', '394']
['405', '11', '384', '134', '213']
['211', '325', '79', '50', '77']
['400', '450', '100', '473', '218']
['58', '364', '98', '422', '408']
['250', '53', '343', '411', '398']
['130', '246', '381', '493', '99']
['361', '457', '219', '290', '495']
['92', '452', '494', '118', '458']
['421', '60', '177', '185', '229']
['237', '313', '114', '362', '153']
['366', '348', '16', '282', '321']
['55', '261', '327', '393', '133']
['420', '227', '355', '360', '312']
['392', '453', '69', '207', '184']
['482', '337', '26', '193', '97']
['268', '72', '22', '32', '299']
['415', '306', '71', '40', '3']
['303', '281', '335', '431', '144']
['95', '491', '266', '263', '57']
['194', '37', '323', '342', '4']
['65', '41', '456', '373', '356']
['175', '283', '289', '240', '317']
['91', '132', '496', '31', '90']
['24', '201', '302', '28', '454']
['66', '216', '64', '492', '121']
['190', '487', '465', '155', '223']
['89', '469', '367', '12', '390']
['330', '44', '447', '2', '30']
['314', '332', '122', '192', '138']
['124', '409', '186', '195', '305']
['82', '232', '338', '396', '51']
['257', '127', '203', '148', '150']
['225', '180', '81', '19', '38']
['286', '198', '110', '401', '430']
['217', '486', '270', '418', '371']
['206', '158', '326', '329', '426']
['238', '445', '442', '151', '322']
['235', '141', '255', '140', '15']
