['344', '349', '354', '355', '358', '369', '383', '388', '394', '399']
['222', '246', '257', '265', '285', '314', '319', '327', '341', '342']
['191', '192', '194', '195', '197', '198', '199', '206', '210', '215']
['149', '162', '164', '181', '182', '184', '185', '187', '188', '189']
['104', '105', '106', '107', '109', '130', '132', '136', '137', '139']
['61', '69', '76', '79', '80', '81', '86', '93', '99', '103']
['3', '5', '6', '7', '8', '9', '22', '26', '29', '34']
['290', '291', '313', '321', '340', '351', '370', '380', '390', '1']
['186', '196', '200', '201', '205', '211', '220', '230', '250', '260']
['10', '57', '60', '82', '88', '100', '110', '131', '146', '183']
['361', '365', '372', '375', '386', '381', '384', '391', '396', '397']
['332', '337', '343', '345', '346', '347', '353', '359', '352', '360']
['293', '305', '302', '310', '312', '315', '316', '317', '318', '325']
['254', '256', '252', '268', '262', '288', '350', '294', '297', '292']
['168', '169', '180', '190', '203', '208', '225', '240', '244', '247']
['141', '143', '151', '152', '159', '160', '161', '165', '166', '167']
['96', '98', '102', '108', '114', '119', '128', '135', '138', '140']
['73', '75', '77', '83', '84', '87', '89', '85', '163', '97']
['134', '62', '65', '67', '68', '63', '66', '70', '71', '72']
['24', '31', '36', '37', '32', '35', '38', '42', '45', '47']
['23', '301', '320', '0', '101', '2', '4', '11', '12', '20']
['376', '378', '371', '382', '387', '389', '385', '392', '393', '398']
['348', '356', '357', '363', '364', '366', '367', '368', '377', '373']
['311', '324', '329', '322', '331', '333', '335', '336', '338', '330']
['287', '282', '283', '289', '296', '298', '299', '295', '300', '307']
['259', '255', '263', '266', '267', '264', '269', '270', '276', '284']
['272', '241', '242', '243', '248', '249', '362', '251', '253', '258']
['216', '218', '228', '226', '221', '231', '234', '235', '395', '237']
['147', '148', '150', '154', '156', '157', '158', '209', '204', '213']
['94', '95', '90', '193', '112', '126', '129', '142', '144', '145']
['50', '55', '232', '64', '133', '153', '74', '78', '91', '92']
['27', '28', '30', '33', '39', '46', '43', '44', '56', '58']
['339', '379', '374', '15', '18', '13', '16', '17', '21', '25']
['274', '279', '277', '281', '286', '280', '308', '328', '323', '334']
['217', '219', '223', '227', '224', '229', '233', '236', '238', '261']
['179', '170', '173', '174', '177', '271', '207', '202', '245', '214']
['53', '303', '113', '117', '118', '124', '122', '155', '171', '175']
['172', '239', '273', '304', '14', '19', '40', '41', '48', '49']
['59', '275', '212', '278', '115', '111', '123', '125', '127', '120']
['178', '306', '51', '52', '121', '309', '326', '176', '116', '54']
