['194', '274', '116', '460', '121', '76', '181', '128', '275', '104', '349', '407', '370', '382', '369', '53', '353', '422', '158', '469']
['487', '376', '304', '467', '200', '92', '316', '170', '400', '347', '340', '355', '218', '188', '215', '41', '2', '432', '65', '248']
['384', '242', '13', '463', '279', '375', '100', '320', '57', '115', '309', '345', '413', '176', '453', '219', '392', '299', '28', '259']
['484', '485', '95', '475', '260', '134', '350', '7', '221', '385', '35', '29', '287', '271', '366', '312', '302', '472', '342', '160']
['481', '266', '449', '102', '373', '129', '306', '19', '82', '153', '36', '97', '107', '205', '482', '229', '90', '155', '161', '58']
['308', '216', '211', '157', '179', '362', '322', '132', '71', '276', '149', '9', '195', '207', '404', '256', '32', '254', '246', '473']
['4', '189', '70', '185', '416', '383', '98', '390', '173', '69', '17', '315', '427', '477', '101', '255', '389', '263', '22', '290']
['177', '291', '46', '156', '361', '66', '243', '40', '401', '0', '459', '295', '406', '111', '499', '343', '60', '378', '99', '396']
['429', '323', '6', '442', '45', '247', '336', '281', '21', '172', '284', '440', '84', '91', '225', '478', '167', '175', '50', '213']
['130', '26', '252', '8', '251', '10', '166', '273', '289', '398', '135', '371', '217', '199', '397', '296', '182', '16', '480', '206']
['265', '430', '67', '433', '103', '191', '72', '203', '428', '5', '426', '47', '25', '448', '445', '64', '496', '443', '408', '294']
['37', '280', '415', '239', '133', '220', '403', '486', '168', '125', '431', '15', '63', '245', '14', '150', '240', '123', '303', '451']
['137', '267', '339', '446', '278', '59', '38', '187', '136', '241', '148', '490', '495', '79', '483', '494', '466', '352', '283', '196']
['332', '253', '197', '359', '348', '224', '232', '386', '244', '55', '269', '258', '489', '399', '405', '419', '363', '183', '112', '354']
['231', '462', '74', '329', '317', '409', '328', '141', '357', '139', '138', '154', '48', '368', '424', '367', '146', '83', '23', '105']
['326', '39', '54', '270', '417', '395', '461', '193', '497', '184', '412', '414', '250', '143', '152', '358', '437', '11', '145', '230']
['360', '474', '314', '410', '452', '78', '106', '313', '190', '94', '301', '305', '3', '337', '147', '444', '262', '34', '43', '24']
['119', '344', '261', '113', '124', '325', '210', '491', '310', '286', '249', '277', '192', '89', '233', '140', '151', '226', '237', '201']
['44', '126', '164', '264', '73', '334', '223', '456', '364', '387', '292', '394', '208', '235', '163', '341', '52', '435', '61', '471']
['498', '20', '450', '402', '12', '327', '298', '204', '434', '56', '365', '209', '238', '288', '436', '319', '86', '178', '165', '114']
['465', '479', '300', '142', '85', '285', '96', '159', '222', '418', '455', '186', '30', '393', '51', '87', '171', '493', '62', '214']
['438', '457', '33', '169', '198', '470', '377', '122', '234', '379', '351', '307', '454', '131', '31', '88', '488', '77', '174', '338']
['282', '144', '236', '425', '127', '118', '346', '27', '324', '228', '49', '268', '108', '411', '420', '421', '80', '464', '212', '447']
['476', '68', '109', '272', '1', '202', '380', '93', '439', '374', '356', '42', '120', '381', '180', '318', '492', '297', '311', '257']
['458', '117', '388', '162', '110', '441', '321', '333', '331', '330', '372', '391', '75', '81', '468', '293', '227', '335', '18', '423']
