['156', '83', '206', '338', '126', '294', '334', '395', '218', '9', '194', '321', '78', '22', '190', '305', '89', '132', '283', '103', '18', '61', '306', '270', '293']
['90', '351', '316', '71', '298', '152', '271', '232', '221', '58', '102', '151', '122', '69', '203', '197', '291', '302', '292', '258', '30', '189', '308', '378', '368']
['202', '196', '140', '99', '229', '176', '177', '162', '115', '33', '16', '98', '137', '67', '66', '222', '339', '249', '220', '80', '250', '287', '213', '28', '264']
['91', '266', '211', '133', '352', '247', '392', '231', '228', '365', '276', '390', '288', '15', '86', '174', '241', '245', '73', '117', '54', '272', '121', '391', '207']
['153', '233', '372', '139', '185', '135', '345', '328', '21', '335', '313', '0', '170', '45', '167', '106', '285', '63', '332', '280', '94', '120', '317', '27', '379']
['172', '105', '263', '87', '340', '318', '394', '377', '62', '254', '303', '327', '142', '257', '314', '216', '173', '330', '347', '393', '398', '42', '217', '186', '97']
['300', '301', '256', '195', '147', '64', '114', '342', '79', '384', '14', '68', '363', '201', '235', '116', '141', '325', '17', '296', '310', '43', '242', '279', '13']
['101', '143', '5', '331', '179', '370', '269', '110', '70', '49', '192', '119', '260', '72', '148', '277', '387', '178', '290', '362', '187', '25', '337', '243', '385']
['107', '315', '57', '374', '238', '145', '169', '364', '381', '237', '226', '75', '209', '20', '323', '38', '81', '219', '128', '388', '88', '200', '286', '236', '349']
['356', '100', '31', '46', '223', '47', '320', '261', '396', '244', '273', '369', '248', '166', '307', '11', '2', '267', '359', '275', '182', '1', '268', '26', '163']
['123', '84', '239', '204', '109', '35', '348', '48', '255', '96', '215', '60', '36', '158', '10', '399', '295', '371', '230', '346', '281', '210', '344', '165', '164']
['39', '188', '130', '134', '157', '324', '127', '111', '77', '50', '51', '252', '4', '129', '360', '168', '358', '104', '389', '6', '138', '376', '205', '92', '144']
['246', '183', '56', '319', '355', '95', '240', '224', '311', '113', '108', '326', '234', '253', '259', '354', '309', '198', '41', '341', '284', '124', '23', '383', '131']
['184', '37', '361', '329', '193', '44', '34', '208', '353', '125', '74', '322', '367', '312', '55', '191', '336', '382', '150', '357', '59', '274', '29', '299', '265']
['3', '32', '7', '180', '289', '112', '154', '146', '375', '160', '149', '159', '24', '386', '262', '397', '12', '53', '333', '8', '343', '52', '380', '82', '155']
['251', '40', '225', '278', '282', '366', '171', '227', '19', '136', '350', '118', '199', '212', '175', '304', '181', '373', '85', '214', '297', '93', '161', '76', '65']
