['158', '223', '11', '234', '101', '105', '7', '108', '229', '221']
['29', '208', '24', '28', '182', '69', '48', '196', '225', '49']
['238', '204', '167', '119', '197', '3', '129', '77', '240', '166']
['179', '220', '34', '87', '201', '249', '63', '189', '88', '120']
['127', '78', '248', '245', '53', '133', '180', '156', '140', '188']
['109', '30', '144', '233', '70', '184', '102', '82', '141', '80']
['210', '151', '207', '32', '58', '168', '46', '190', '37', '131']
['43', '148', '27', '1', '122', '246', '79', '139', '239', '19']
['57', '12', '145', '138', '45', '21', '61', '17', '170', '41']
['8', '211', '84', '98', '38', '47', '81', '160', '231', '107']
['23', '172', '13', '92', '95', '15', '152', '86', '83', '96']
['90', '219', '9', '155', '198', '111', '25', '171', '59', '142']
['0', '146', '163', '217', '181', '94', '5', '165', '113', '56']
['115', '192', '106', '159', '93', '26', '164', '42', '200', '135']
['162', '241', '236', '125', '67', '112', '216', '132', '193', '137']
['178', '154', '55', '97', '50', '85', '104', '243', '4', '228']
['116', '218', '191', '157', '65', '230', '40', '2', '66', '147']
['169', '118', '6', '64', '136', '18', '62', '31', '143', '161']
['174', '114', '224', '76', '71', '22', '20', '91', '247', '54']
['153', '128', '35', '183', '68', '173', '130', '123', '60', '75']
['222', '44', '212', '117', '103', '100', '149', '14', '121', '72']
['194', '73', '39', '232', '36', '203', '52', '205', '214', '202']
['209', '99', '134', '185', '177', '186', '199', '150', '242', '175']
['235', '89', '226', '126', '206', '187', '176', '33', '215', '51']
['195', '16', '74', '124', '10', '213', '227', '237', '244', '110']
