['197', '326', '307', '196', '195', '227', '210', '317', '274', '288', '289', '11', '119', '134', '361', '252', '7', '92', '105', '140']
['342', '383', '242', '290', '73', '18', '10', '167', '93', '372', '276', '254', '43', '374', '369', '213', '48', '397', '235', '55']
['67', '232', '68', '231', '24', '233', '376', '283', '138', '221', '386', '238', '266', '45', '127', '100', '34', '215', '350', '149']
['137', '52', '139', '216', '144', '98', '40', '334', '240', '262', '190', '303', '391', '356', '394', '330', '223', '49', '322', '189']
['325', '142', '201', '295', '212', '1', '336', '74', '143', '186', '84', '81', '389', '32', '265', '329', '125', '349', '155', '162']
['382', '90', '298', '128', '337', '332', '26', '80', '99', '158', '300', '61', '113', '123', '0', '292', '38', '109', '243', '191']
['188', '335', '183', '2', '85', '351', '198', '306', '344', '230', '200', '239', '112', '296', '8', '204', '72', '35', '141', '363']
['23', '318', '257', '284', '304', '126', '237', '77', '160', '153', '146', '199', '392', '207', '96', '104', '320', '17', '58', '53']
['287', '171', '225', '377', '117', '170', '15', '321', '294', '110', '224', '175', '178', '255', '177', '370', '187', '83', '194', '107']
['51', '21', '355', '301', '39', '46', '102', '60', '166', '380', '9', '357', '176', '172', '208', '387', '27', '14', '280', '323']
['180', '118', '28', '393', '275', '87', '358', '302', '348', '310', '343', '13', '169', '135', '151', '250', '282', '78', '399', '236']
['122', '331', '82', '41', '179', '260', '63', '214', '251', '152', '121', '124', '270', '398', '311', '6', '108', '384', '339', '103']
['245', '19', '222', '30', '154', '209', '315', '345', '346', '375', '71', '261', '385', '259', '297', '86', '253', '324', '136', '359']
['390', '248', '148', '33', '308', '3', '285', '145', '193', '293', '42', '256', '299', '272', '111', '360', '247', '57', '226', '182']
['379', '371', '157', '115', '309', '396', '91', '327', '333', '373', '76', '133', '36', '271', '352', '64', '354', '95', '341', '150']
['264', '234', '22', '132', '211', '101', '362', '218', '205', '161', '279', '70', '44', '312', '5', '174', '313', '47', '338', '269']
['147', '12', '267', '249', '56', '16', '273', '184', '202', '268', '365', '25', '65', '31', '367', '159', '353', '97', '192', '340']
['20', '281', '277', '263', '106', '54', '219', '314', '246', '381', '347', '156', '228', '164', '244', '50', '79', '131', '37', '220']
['88', '4', '316', '229', '130', '258', '364', '165', '328', '378', '185', '181', '59', '94', '29', '278', '305', '241', '116', '66']
['69', '120', '388', '395', '75', '286', '163', '89', '368', '366', '206', '62', '319', '291', '129', '173', '114', '168', '203', '217']
