['344', '78', '171', '21', '233', '44', '146', '39', '306', '358', '217', '263', '205', '366', '4', '282', '70', '338', '243', '343']
['236', '314', '214', '22', '158', '2', '246', '163', '127', '384', '98', '224', '142', '313', '82', '119', '43', '284', '49', '113']
['13', '398', '370', '86', '14', '37', '252', '353', '18', '35', '29', '46', '223', '7', '128', '107', '389', '88', '112', '320']
['178', '26', '133', '264', '125', '27', '134', '192', '274', '315', '363', '95', '184', '160', '30', '381', '339', '99', '149', '212']
['323', '144', '145', '20', '253', '141', '226', '196', '335', '347', '179', '328', '380', '126', '382', '208', '109', '219', '346', '166']
['295', '375', '187', '216', '260', '34', '189', '198', '55', '377', '351', '367', '150', '155', '225', '305', '40', '336', '101', '304']
['60', '159', '378', '227', '332', '269', '319', '165', '75', '242', '307', '17', '176', '172', '131', '84', '188', '93', '374', '199']
['281', '285', '118', '385', '237', '386', '194', '321', '286', '325', '369', '117', '292', '104', '191', '371', '275', '357', '156', '152']
['25', '229', '124', '24', '52', '244', '130', '349', '340', '345', '54', '31', '148', '74', '327', '287', '283', '65', '248', '33']
['318', '19', '153', '143', '362', '300', '379', '209', '129', '360', '154', '259', '15', '110', '1', '202', '255', '63', '299', '364']
['81', '293', '215', '10', '36', '296', '280', '135', '11', '169', '157', '256', '220', '64', '138', '139', '210', '3', '94', '16']
['161', '356', '337', '383', '288', '247', '90', '231', '167', '168', '254', '77', '175', '322', '137', '301', '79', '317', '235', '359']
['218', '136', '326', '105', '76', '83', '45', '238', '376', '395', '330', '279', '222', '8', '372', '213', '190', '57', '59', '271']
['71', '42', '230', '291', '270', '58', '261', '183', '73', '350', '342', '180', '203', '302', '89', '250', '241', '23', '273', '201']
['50', '266', '151', '249', '251', '393', '111', '297', '392', '56', '28', '268', '334', '354', '61', '140', '308', '324', '262', '316']
['174', '0', '87', '387', '352', '185', '258', '41', '6', '80', '120', '162', '121', '388', '221', '12', '38', '390', '311', '341']
['333', '204', '396', '72', '96', '200', '267', '394', '91', '278', '114', '361', '181', '147', '240', '68', '399', '234', '108', '195']
['186', '310', '53', '276', '115', '173', '272', '228', '132', '9', '97', '211', '257', '303', '331', '373', '397', '103', '51', '122']
['92', '102', '206', '348', '277', '5', '355', '265', '69', '116', '182', '294', '123', '62', '48', '66', '309', '232', '170', '67']
['193', '245', '298', '32', '368', '47', '239', '207', '365', '106', '177', '289', '85', '197', '312', '391', '164', '329', '100', '290']
