['267', '39', '258', '21', '284', '62', '190', '110', '257', '273']
['228', '215', '151', '148', '127', '78', '87', '77', '232', '174']
['293', '138', '80', '152', '180', '198', '281', '233', '294', '99']
['19', '157', '1', '100', '239', '66', '117', '121', '142', '252']
['227', '208', '27', '176', '247', '43', '126', '8', '223', '159']
['266', '93', '18', '209', '144', '35', '10', '207', '186', '102']
['200', '140', '230', '129', '184', '34', '165', '83', '169', '68']
['28', '275', '47', '242', '253', '248', '96', '145', '23', '147']
['94', '120', '20', '245', '76', '272', '221', '206', '74', '81']
['133', '72', '91', '219', '70', '9', '213', '173', '22', '270']
['262', '191', '130', '296', '288', '111', '283', '36', '86', '217']
['277', '214', '41', '261', '154', '178', '236', '289', '161', '295']
['64', '40', '237', '97', '128', '42', '95', '137', '107', '115']
['90', '167', '203', '136', '104', '15', '125', '25', '286', '196']
['65', '244', '182', '134', '141', '84', '158', '124', '290', '3']
['202', '218', '163', '220', '298', '264', '179', '33', '118', '109']
['6', '287', '89', '53', '26', '2', '162', '231', '38', '98']
['58', '243', '85', '149', '195', '7', '175', '139', '225', '269']
['240', '156', '113', '106', '183', '263', '116', '224', '216', '259']
['108', '57', '199', '55', '132', '279', '278', '17', '50', '54']
['282', '189', '188', '82', '249', '29', '255', '226', '143', '131']
['11', '210', '204', '32', '135', '177', '48', '166', '114', '194']
['45', '197', '59', '155', '73', '256', '146', '71', '5', '271']
['51', '79', '280', '201', '14', '185', '205', '164', '229', '222']
['30', '44', '212', '61', '274', '181', '297', '250', '246', '56']
['238', '60', '69', '150', '105', '254', '187', '171', '52', '160']
['122', '31', '211', '172', '234', '251', '300', '92', '170', '12']
['235', '16', '265', '24', '119', '153', '260', '299', '112', '291']
['4', '101', '46', '67', '192', '292', '75', '37', '285', '193']
['268', '103', '241', '88', '168', '13', '63', '123', '49', '276']
