['105', '46', '224', '88', '136', '111', '242', '52', '99', '84']
['218', '108', '79', '115', '71', '18', '187', '135', '80', '167']
['189', '34', '229', '104', '182', '116', '203', '223', '180', '176']
['51', '47', '142', '234', '106', '1', '22', '152', '95', '119']
['59', '177', '183', '20', '57', '162', '179', '9', '94', '248']
['100', '35', '205', '126', '185', '228', '24', '96', '137', '139']
['7', '149', '204', '37', '92', '118', '249', '50', '48', '148']
['150', '192', '69', '134', '85', '49', '78', '82', '155', '27']
['226', '235', '76', '45', '114', '65', '113', '164', '173', '70']
['243', '112', '5', '172', '42', '230', '81', '153', '10', '56']
['55', '159', '39', '213', '66', '23', '190', '60', '236', '138']
['120', '198', '188', '201', '133', '196', '11', '241', '83', '132']
['4', '40', '154', '161', '200', '15', '186', '217', '16', '103']
['110', '61', '8', '26', '87', '169', '68', '3', '91', '141']
['89', '206', '211', '77', '191', '128', '193', '125', '117', '122']
['58', '36', '102', '38', '175', '0', '197', '246', '166', '64']
['199', '62', '29', '131', '90', '157', '109', '178', '63', '98']
['194', '17', '222', '74', '174', '208', '143', '19', '160', '146']
['123', '239', '216', '156', '184', '212', '2', '41', '72', '168']
['215', '202', '145', '219', '101', '244', '233', '129', '28', '181']
['127', '195', '43', '165', '73', '97', '67', '30', '214', '32']
['231', '144', '147', '237', '12', '124', '158', '220', '227', '221']
['121', '209', '140', '93', '247', '14', '75', '171', '33', '207']
['210', '232', '13', '107', '25', '163', '130', '86', '240', '54']
['6', '245', '21', '151', '31', '225', '44', '238', '170', '53']
