['227', '23', '11', '20', '71', '67', '113', '264', '376', '417', '254', '333', '460', '454', '428', '371', '382', '130', '29', '263']
['298', '329', '446', '201', '424', '52', '435', '189', '142', '162', '280', '89', '305', '398', '172', '312', '76', '493', '197', '491']
['152', '482', '475', '167', '134', '278', '110', '57', '125', '315', '58', '174', '181', '30', '5', '354', '15', '135', '102', '386']
['407', '190', '349', '300', '51', '303', '63', '78', '383', '462', '447', '2', '17', '347', '37', '255', '95', '430', '151', '358']
['247', '139', '132', '271', '390', '242', '308', '81', '440', '91', '367', '50', '448', '6', '108', '457', '269', '461', '129', '389']
['484', '253', '120', '44', '136', '204', '119', '205', '153', '272', '396', '294', '299', '168', '236', '324', '245', '173', '337', '436']
['488', '292', '250', '18', '340', '352', '109', '246', '356', '470', '350', '302', '219', '260', '423', '297', '419', '466', '221', '241']
['147', '114', '42', '416', '487', '252', '395', '455', '343', '316', '99', '286', '171', '432', '21', '359', '86', '465', '234', '47']
['157', '399', '31', '322', '158', '275', '186', '481', '237', '307', '363', '122', '320', '391', '365', '344', '251', '453', '468', '330']
['34', '346', '403', '85', '149', '200', '192', '7', '222', '472', '170', '348', '404', '36', '380', '385', '288', '478', '101', '178']
['480', '92', '143', '145', '248', '218', '97', '133', '65', '126', '88', '418', '499', '104', '410', '238', '211', '105', '400', '267']
['144', '116', '27', '373', '49', '295', '243', '198', '293', '412', '279', '40', '103', '163', '55', '281', '1', '445', '313', '477']
['225', '381', '213', '489', '338', '319', '185', '345', '98', '405', '232', '70', '164', '25', '471', '413', '74', '388', '191', '179']
['112', '361', '111', '256', '39', '131', '24', '124', '226', '150', '121', '342', '155', '495', '434', '469', '357', '441', '394', '336']
['41', '377', '497', '96', '9', '46', '148', '334', '414', '439', '216', '207', '476', '273', '68', '180', '177', '13', '19', '459']
['54', '61', '35', '182', '220', '196', '117', '341', '230', '3', '301', '452', '94', '160', '287', '77', '306', '444', '203', '257']
['450', '464', '442', '123', '409', '456', '415', '270', '166', '426', '285', '406', '284', '393', '199', '458', '60', '421', '176', '425']
['379', '353', '374', '496', '328', '378', '360', '282', '165', '314', '276', '304', '355', '209', '161', '154', '370', '175', '141', '323']
['84', '100', '479', '140', '107', '90', '64', '262', '228', '235', '384', '45', '265', '274', '364', '169', '239', '422', '494', '159']
['335', '80', '261', '258', '59', '375', '69', '387', '82', '408', '366', '217', '249', '87', '53', '43', '231', '215', '212', '73']
['75', '321', '16', '8', '229', '467', '438', '362', '433', '28', '483', '62', '26', '106', '138', '14', '33', '429', '291', '146']
['310', '431', '473', '72', '240', '193', '268', '368', '492', '463', '4', '311', '188', '214', '339', '137', '326', '233', '56', '66']
['12', '331', '244', '283', '490', '451', '437', '486', '206', '224', '128', '420', '309', '83', '202', '401', '485', '372', '48', '22']
['289', '327', '187', '0', '277', '397', '325', '127', '427', '79', '392', '210', '156', '115', '38', '183', '93', '208', '351', '449']
['402', '332', '369', '317', '10', '498', '443', '32', '259', '223', '318', '296', '474', '290', '195', '184', '118', '266', '194', '411']
