['370', '371', '372', '373', '374', '375', '376', '397', '398', '399']
['360', '361', '362', '363', '364', '365', '366', '367', '368', '369']
['350', '351', '352', '353', '354', '355', '356', '357', '358', '359']
['340', '341', '342', '343', '344', '345', '346', '347', '348', '349']
['330', '331', '332', '333', '334', '335', '336', '337', '338', '339']
['320', '321', '322', '323', '324', '325', '326', '327', '328', '329']
['310', '311', '312', '313', '314', '315', '316', '317', '318', '319']
['300', '301', '302', '303', '304', '305', '306', '307', '308', '309']
['390', '174', '268', '209', '391', '392', '393', '394', '395', '396']
['65', '149', '131', '271', '47', '127', '275', '76', '44', '389']
['161', '147', '0', '94', '234', '228', '117', '152', '388', '145']
['387', '153', '122', '236', '25', '175', '108', '221', '105', '200']
['261', '180', '33', '216', '45', '233', '113', '259', '172', '23']
['41', '385', '220', '256', '60', '129', '386', '195', '227', '215']
['80', '82', '151', '61', '266', '263', '111', '184', '239', '198']
['185', '265', '59', '73', '201', '142', '156', '83', '104', '88']
['53', '213', '124', '75', '116', '126', '100', '29', '384', '91']
['51', '257', '102', '107', '118', '208', '150', '186', '199', '276']
['288', '294', '280', '165', '139', '58', '202', '136', '74', '191']
['260', '277', '189', '138', '383', '235', '42', '295', '237', '92']
['109', '226', '67', '93', '98', '264', '140', '222', '283', '171']
['284', '247', '106', '273', '110', '231', '203', '34', '78', '85']
['246', '270', '298', '197', '291', '240', '37', '128', '135', '26']
['217', '382', '1', '144', '296', '62', '244', '193', '289', '54']
['232', '38', '279', '24', '97', '381', '249', '31', '194', '154']
['114', '297', '253', '30', '167', '39', '103', '169', '224', '286']
['225', '99', '282', '173', '32', '72', '123', '214', '96', '287']
['146', '219', '120', '230', '36', '250', '35', '40', '79', '274']
['164', '255', '170', '211', '137', '130', '52', '81', '163', '134']
['379', '205', '176', '132', '245', '380', '187', '27', '64', '183']
['158', '133', '162', '155', '182', '63', '69', '299', '278', '90']
['267', '87', '101', '188', '285', '66', '71', '238', '157', '160']
['68', '148', '43', '206', '46', '190', '192', '115', '77', '207']
['125', '159', '243', '269', '89', '252', '181', '378', '56', '212']
['2', '204', '229', '292', '57', '141', '248', '55', '196', '290']
['84', '86', '50', '254', '49', '242', '223', '272', '377', '178']
['166', '179', '112', '21', '121', '251', '218', '22', '48', '28']
['281', '210', '119', '19', '262', '20', '293', '258', '95', '168']
['13', '14', '241', '15', '16', '70', '17', '18', '143', '177']
['3', '4', '5', '6', '7', '8', '9', '10', '11', '12']
