['333', '173', '98', '379', '385', '335', '292', '205', '452', '147']
['373', '61', '148', '476', '430', '426', '198', '308', '474', '353']
['72', '174', '156', '94', '293', '313', '428', '449', '310', '306']
['155', '366', '338', '111', '105', '324', '302', '348', '409', '216']
['300', '398', '183', '125', '264', '202', '340', '446', '229', '240']
['223', '123', '450', '442', '124', '158', '392', '314', '195', '131']
['149', '225', '496', '301', '468', '347', '342', '276', '341', '447']
['406', '328', '236', '127', '388', '189', '457', '218', '227', '180']
['364', '270', '325', '192', '113', '279', '259', '461', '271', '365']
['228', '89', '159', '384', '361', '404', '309', '255', '262', '407']
['272', '455', '316', '382', '331', '343', '172', '256', '294', '391']
['374', '78', '167', '136', '143', '74', '121', '434', '435', '322']
['445', '500', '95', '150', '485', '250', '187', '390', '211', '85']
['436', '417', '215', '480', '358', '219', '467', '242', '356', '312']
['138', '203', '137', '184', '344', '414', '65', '117', '478', '495']
['412', '326', '421', '327', '443', '296', '423', '456', '70', '157']
['209', '230', '424', '287', '487', '280', '399', '291', '207', '462']
['431', '254', '493', '362', '162', '282', '81', '235', '395', '283']
['422', '349', '114', '118', '497', '290', '323', '345', '453', '481']
['196', '488', '142', '214', '475', '411', '251', '429', '473', '469']
['492', '355', '151', '194', '499', '490', '311', '191', '367', '285']
['97', '182', '128', '307', '491', '377', '220', '133', '440', '418']
['86', '482', '466', '380', '169', '303', '376', '289', '154', '69']
['58', '304', '369', '419', '357', '60', '261', '332', '181', '160']
['153', '76', '277', '109', '231', '494', '80', '295', '170', '433']
['179', '185', '206', '175', '257', '320', '54', '188', '204', '50']
['213', '350', '130', '265', '178', '263', '486', '91', '176', '38']
['319', '360', '249', '122', '237', '378', '245', '397', '454', '135']
['106', '427', '438', '226', '437', '268', '246', '139', '99', '286']
['100', '281', '336', '477', '234', '275', '274', '64', '186', '284']
['146', '63', '201', '82', '334', '233', '161', '132', '144', '62']
['273', '460', '298', '389', '439', '489', '244', '339', '51', '83']
['318', '479', '171', '472', '471', '77', '370', '253', '129', '241']
['247', '269', '59', '278', '197', '305', '239', '224', '396', '363']
['299', '115', '432', '266', '415', '425', '400', '212', '359', '221']
['40', '330', '321', '75', '104', '232', '252', '458', '177', '354']
['140', '387', '375', '126', '243', '368', '73', '288', '484', '403']
['166', '317', '199', '238', '420', '337', '297', '408', '46', '394']
['116', '193', '145', '459', '410', '42', '405', '48', '402', '67']
['102', '92', '190', '71', '163', '34', '329', '107', '346', '413']
['6', '371', '465', '248', '90', '96', '112', '498', '351', '84']
['164', '101', '217', '393', '210', '168', '88', '103', '45', '448']
['258', '401', '119', '208', '44', '52', '134', '383', '141', '464']
['260', '441', '444', '381', '222', '108', '110', '483', '57', '416']
['26', '93', '23', '470', '152', '41', '29', '35', '386', '352']
['372', '68', '47', '200', '56', '55', '33', '267', '463', '315']
['25', '24', '87', '451', '28', '39', '66', '49', '31', '36']
['18', '37', '12', '22', '16', '79', '43', '165', '32', '120']
['13', '27', '11', '15', '53', '19', '17', '30', '21', '20']
['1', '2', '10', '5', '4', '3', '14', '8', '9', '7']
