['211', '83', '292', '394', '206', '123', '146', '235', '67', '170', '253', '353', '176', '373', '413', '188', '25', '299', '243', '444']
['338', '91', '89', '270', '114', '325', '164', '49', '317', '479', '288', '227', '29', '224', '35', '218', '48', '303', '349', '272']
['175', '143', '112', '330', '315', '392', '234', '304', '467', '286', '439', '11', '133', '333', '457', '414', '65', '88', '259', '384']
['147', '267', '248', '12', '275', '348', '47', '194', '471', '424', '327', '485', '17', '139', '290', '246', '255', '157', '76', '445']
['278', '150', '195', '233', '296', '454', '375', '370', '189', '74', '99', '463', '208', '476', '183', '254', '247', '174', '238', '168']
['8', '425', '450', '271', '33', '44', '418', '319', '196', '85', '15', '339', '5', '72', '228', '53', '58', '45', '109', '276']
['6', '295', '367', '130', '187', '428', '417', '171', '4', '69', '366', '264', '386', '371', '165', '434', '100', '202', '341', '32']
['408', '96', '214', '108', '252', '178', '27', '447', '119', '39', '491', '432', '496', '308', '177', '105', '269', '404', '488', '94']
['70', '379', '316', '26', '291', '464', '245', '458', '435', '31', '216', '437', '419', '449', '493', '124', '86', '369', '198', '251']
['337', '346', '19', '294', '466', '335', '129', '110', '115', '14', '236', '314', '484', '223', '475', '144', '52', '63', '132', '478']
['426', '448', '277', '273', '84', '79', '429', '41', '161', '221', '300', '402', '422', '163', '212', '329', '111', '306', '499', '148']
['393', '365', '138', '336', '406', '483', '217', '266', '287', '430', '257', '127', '347', '159', '107', '293', '68', '192', '3', '358']
['343', '470', '486', '98', '244', '250', '298', '78', '494', '54', '93', '399', '456', '389', '151', '149', '311', '495', '372', '158']
['118', '427', '239', '423', '131', '376', '383', '43', '186', '331', '355', '38', '354', '73', '453', '126', '359', '368', '396', '95']
['431', '42', '61', '122', '162', '201', '242', '382', '420', '401', '0', '481', '482', '443', '46', '179', '229', '75', '472', '398']
['436', '283', '225', '350', '51', '172', '285', '64', '357', '155', '309', '489', '385', '154', '226', '332', '18', '326', '23', '34']
['193', '433', '403', '116', '395', '289', '128', '356', '166', '274', '310', '497', '438', '190', '219', '451', '231', '324', '103', '66']
['121', '160', '182', '282', '320', '302', '440', '441', '442', '410', '474', '184', '230', '405', '492', '263', '117', '232', '312', '351']
['199', '37', '313', '106', '185', '412', '307', '152', '215', '363', '30', '345', '390', '364', '468', '1', '2', '60', '80', '140']
['462', '465', '455', '205', '249', '191', '97', '92', '57', '407', '135', '305', '204', '328', '134', '265', '284', '387', '113', '334']
['7', '137', '36', '397', '209', '59', '40', '102', '141', '142', '180', '181', '281', '301', '321', '322', '360', '400', '421', '480']
['167', '415', '318', '378', '71', '173', '153', '459', '374', '145', '352', '498', '197', '473', '323', '279', '210', '104', '77', '10']
['22', '200', '241', '280', '261', '361', '460', '461', '136', '16', '391', '256', '125', '388', '416', '55', '156', '50', '344', '268']
['469', '220', '260', '340', '380', '362', '381', '13', '446', '56', '28', '452', '490', '207', '477', '169', '409', '87', '9', '21']
['342', '101', '222', '297', '20', '62', '81', '240', '258', '237', '82', '120', '262', '411', '377', '24', '203', '487', '213', '90']
