['146', '379', '303', '382', '349', '95', '55', '195', '30', '282', '153', '71', '187', '283', '322', '16', '51', '255', '1', '179']
['385', '79', '358', '281', '253', '45', '256', '19', '225', '238', '279', '92', '93', '135', '323', '389', '41', '398', '157', '248']
['59', '78', '130', '126', '116', '169', '230', '314', '335', '395', '277', '56', '101', '391', '221', '368', '304', '399', '75', '317']
['94', '334', '178', '44', '107', '123', '143', '294', '374', '262', '58', '381', '207', '186', '149', '20', '97', '89', '340', '241']
['197', '302', '13', '193', '54', '344', '210', '346', '251', '332', '343', '122', '209', '234', '84', '264', '29', '293', '352', '318']
['136', '290', '81', '176', '378', '339', '48', '364', '273', '330', '11', '287', '8', '26', '33', '380', '133', '185', '231', '242']
['268', '114', '52', '360', '49', '365', '199', '278', '296', '237', '212', '326', '42', '112', '162', '266', '128', '336', '3', '77']
['147', '356', '73', '213', '301', '142', '145', '259', '159', '285', '100', '173', '158', '274', '246', '27', '291', '57', '194', '109']
['289', '224', '350', '164', '129', '70', '275', '341', '299', '200', '297', '370', '167', '254', '53', '23', '363', '67', '375', '393']
['103', '226', '270', '43', '216', '292', '386', '170', '235', '83', '227', '362', '392', '383', '96', '354', '14', '239', '329', '306']
['91', '65', '223', '66', '333', '90', '182', '384', '177', '35', '309', '119', '240', '183', '111', '22', '355', '325', '214', '174']
['261', '198', '331', '34', '260', '113', '76', '204', '139', '295', '120', '124', '12', '21', '61', '80', '327', '388', '324', '150']
['36', '28', '353', '62', '140', '288', '144', '156', '245', '74', '98', '155', '300', '390', '376', '313', '47', '151', '257', '244']
['276', '166', '280', '63', '311', '4', '373', '161', '60', '232', '219', '163', '258', '203', '181', '9', '284', '108', '82', '359']
['236', '85', '272', '171', '265', '172', '141', '192', '25', '372', '377', '308', '361', '222', '165', '315', '32', '17', '152', '10']
['345', '64', '40', '228', '102', '168', '267', '218', '104', '117', '357', '127', '211', '307', '5', '233', '316', '72', '105', '310']
['263', '229', '320', '184', '298', '138', '371', '394', '37', '132', '387', '148', '328', '250', '175', '252', '39', '24', '0', '99']
['205', '69', '338', '191', '6', '312', '137', '348', '347', '2', '206', '121', '18', '131', '125', '196', '190', '31', '201', '269']
['110', '87', '50', '180', '38', '337', '208', '86', '366', '202', '351', '271', '369', '188', '249', '154', '134', '15', '118', '68']
['217', '367', '88', '286', '106', '189', '7', '305', '319', '115', '46', '215', '160', '397', '342', '396', '247', '220', '243', '321']
