['191', '433', '316', '488', '13', '179', '303', '59', '2', '294', '478', '269', '309', '450', '357', '236', '136', '472', '470', '359']
['6', '263', '36', '122', '212', '150', '226', '297', '96', '246', '99', '115', '413', '284', '113', '15', '350', '186', '497', '355']
['370', '155', '58', '230', '494', '429', '95', '496', '409', '103', '206', '67', '144', '471', '125', '38', '479', '73', '490', '162']
['499', '235', '418', '273', '207', '337', '384', '45', '42', '174', '331', '85', '381', '241', '225', '74', '163', '175', '33', '251']
['281', '130', '216', '480', '425', '23', '29', '278', '258', '152', '147', '377', '464', '217', '374', '327', '444', '255', '376', '287']
['452', '86', '253', '286', '295', '208', '361', '345', '201', '170', '229', '267', '203', '469', '17', '94', '486', '372', '483', '366']
['325', '458', '220', '172', '379', '428', '181', '364', '298', '484', '446', '116', '402', '108', '358', '477', '112', '24', '313', '39']
['492', '343', '68', '205', '326', '400', '397', '166', '221', '476', '234', '240', '50', '336', '406', '424', '107', '360', '487', '76']
['329', '200', '0', '440', '441', '387', '285', '271', '321', '118', '88', '30', '121', '228', '317', '3', '330', '4', '260', '79']
['48', '310', '109', '106', '435', '405', '256', '427', '461', '456', '349', '495', '438', '84', '391', '388', '247', '187', '466', '299']
['328', '52', '28', '231', '482', '334', '25', '430', '250', '296', '22', '183', '389', '308', '185', '392', '448', '53', '261', '493']
['18', '97', '93', '422', '140', '141', '270', '89', '161', '47', '277', '178', '268', '385', '373', '77', '12', '165', '49', '367']
['35', '21', '168', '232', '265', '342', '31', '362', '445', '347', '311', '182', '346', '275', '242', '305', '8', '421', '44', '210']
['276', '340', '279', '439', '432', '498', '54', '348', '442', '132', '351', '257', '11', '43', '338', '368', '149', '180', '238', '396']
['318', '142', '117', '190', '386', '489', '463', '447', '335', '457', '41', '398', '237', '453', '339', '34', '98', '312', '289', '272']
['401', '146', '127', '164', '72', '423', '454', '239', '104', '468', '27', '224', '322', '9', '83', '410', '158', '91', '198', '134']
['219', '102', '204', '81', '262', '139', '431', '354', '5', '302', '280', '491', '282', '222', '196', '378', '363', '66', '57', '434']
['119', '244', '291', '16', '292', '37', '393', '473', '153', '129', '436', '78', '408', '100', '51', '70', '197', '92', '75', '156']
['169', '420', '407', '101', '417', '202', '138', '160', '341', '218', '171', '315', '475', '223', '105', '46', '249', '390', '485', '264']
['87', '344', '404', '481', '211', '443', '62', '365', '213', '403', '69', '143', '55', '195', '300', '71', '459', '148', '467', '460']
['32', '248', '209', '80', '383', '123', '394', '333', '416', '474', '382', '352', '194', '437', '1', '369', '184', '288', '301', '7']
['314', '399', '449', '371', '64', '145', '90', '10', '252', '192', '133', '189', '455', '462', '356', '274', '293', '283', '177', '419']
['60', '380', '266', '20', '233', '412', '157', '26', '65', '131', '243', '245', '124', '14', '323', '135', '465', '199', '304', '82']
['128', '63', '215', '214', '227', '126', '61', '188', '114', '307', '320', '154', '176', '414', '451', '40', '319', '167', '332', '395']
['193', '290', '426', '111', '353', '254', '120', '306', '151', '415', '411', '137', '110', '324', '259', '19', '56', '173', '375', '159']
